Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011620000,0.0020260067,0.0036060200,0.0045900267,0.0054940334,0.0064380400,-0.8735952226,4.7475133649,-2.7472980851,-0.8735952226,1.0001076399,1.0001076399,100.0000000000,99.0000000000,102.4876947886,101.0321381946,100.0000000000,100.0000000000,
0.0012220000,0.0047740198,0.0058180265,0.0066620331,0.0075460398,0.0087700465,4.7475133649,-2.7472980851,-0.8735952226,4.7475133649,4.7475133649,-0.8735952226,100.5000000000,99.1340000000,104.6100407874,99.2860077536,100.0000000000,100.0000000000,
0.0012420000,0.0020860067,0.0029300133,0.0037940200,0.0047580267,0.0058620334,1.0001076399,1.0001076399,2.8738105024,1.0001076399,-0.8735952226,2.8738105024,100.0000000000,100.9368514313,102.3330738124,99.7131367291,100.0000000000,100.0000000000,
0.0012220000,0.0020860067,0.0030700133,0.0039340200,0.0048380267,0.0058020334,4.7475133649,4.7475133649,-2.7472980851,-0.8735952226,1.0001076399,1.0001076399,99.0631485687,100.0000000000,100.1221516145,102.7261124449,100.0000000000,100.0000000000,
0.0012420000,0.0028620131,0.0039260198,0.0048300265,0.0056940331,0.0067380398,4.7475133649,-0.8735952226,-0.8735952226,2.8738105024,2.8738105024,1.0001076399,100.0000000000,100.0000000000,97.6280288624,101.4531568702,100.0000000000,100.0000000000,
0.0011420000,0.0021460067,0.0030300133,0.0039140200,0.0047580267,0.0056820334,1.0001076399,-0.8735952226,2.8738105024,-0.8735952226,2.8738105024,4.7475133649,100.0000000000,100.0000000000,99.4671296739,94.2708295942,100.0000000000,100.0000000000,
0.0012020000,0.0021060067,0.0030500133,0.0041140200,0.0049980267,0.0058820334,-2.7472980851,4.7475133649,-0.8735952226,-0.8735952226,4.7475133649,-0.8735952226,100.0000000000,100.9368514313,96.8601885334,94.3131495268,100.0000000000,100.0000000000,
0.0011620000,0.0028220114,0.0037860181,0.0046700247,0.0061740314,0.0070180381,-2.7472980851,1.0001076399,4.7475133649,-0.8735952226,-2.7472980851,1.0001076399,99.2500000000,100.4330000000,100.5151989164,96.6606875535,100.0000000000,100.0000000000,
0.0012620000,0.0021660067,0.0030700133,0.0046700265,0.0058140331,0.0072580398,2.8738105024,-2.7472980851,1.0001076399,1.0001076399,4.7475133649,4.7475133649,99.0000000000,100.0000000000,94.9757129166,96.9901202281,100.0000000000,100.0000000000,
0.0011420000,0.0035980200,0.0045020267,0.0054860334,0.0071500400,0.0080540467,2.8738105024,1.0001076399,2.8738105024,-2.7472980851,-0.8735952226,1.0001076399,100.0000000000,99.0000000000,98.8552290308,100.6521147044,100.0000000000,100.0000000000,
0.0011620000,0.0020060067,0.0030500133,0.0038940200,0.0048780267,0.0058220334,2.8738105024,-2.7472980851,4.7475133649,-2.7472980851,4.7475133649,-2.7472980851,100.0000000000,100.0670000000,104.9216438368,101.4068036879,100.0000000000,100.0000000000,
0.0011420000,0.0020060067,0.0028700133,0.0037340200,0.0045780267,0.0055620334,1.0001076399,2.8738105024,-2.7472980851,1.0001076399,2.8738105024,-2.7472980851,99.5000000000,99.5000000000,102.1897307172,100.4456907349,100.0000000000,100.0000000000,
0.0019780067,0.0028820133,0.0047620258,0.0057660325,0.0070500391,0.0079340458,-2.7472980851,2.8738105024,1.0001076399,-0.8735952226,4.7475133649,-0.8735952226,100.0000000000,99.0631485687,95.6826493771,102.2045307034,100.0000000000,100.0000000000,
0.0019780067,0.0028820133,0.0037060200,0.0055860267,0.0071100334,0.0083940400,1.0001076399,1.0001076399,146299.7196116399,1.0001076399,1.0001076399,1.0001076399,99.7500000000,100.0000000000,-2583191724.1585836411,-639171433.3760772943,100.0000000000,100.0000000000,
0.0019780067,0.0028820133,0.0037060200,0.0055860267,0.0071100334,0.0083940400,1.0001076399,1.0001076399,146299.7196116399,1.0001076399,1.0001076399,1.0001076399,99.7500000000,100.0000000000,-2583191724.1585836411,-639171433.3760772943,100.0000000000,100.0000000000,
0.0019780067,0.0028820133,0.0037060200,1.0001076399,1.0001076399,146299.7196116399,100.2500000000,99.0670000000,3918146911.8818435669,-14619950690.6039600372,100.0000000000,100.0000000000,
0.0019780067,0.0028820133,0.0037060200,0.0055860267,0.0071100334,0.0083940400,1.0001076399,1.0001076399,146299.7196116399,1.0001076399,1.0001076399,1.0001076399,99.7500000000,100.0000000000,-2583191724.1585836411,-639171433.3760772943,100.0000000000,100.0000000000,
