Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011420000,0.0021460200,0.0030500400,0.0039540650,0.0048780850,0.0064581251,0.0074421451,0.0083661651,0.0094101851,1.1263202647,1.1263202647,1.8734030700,1.1263202647,-0.7473825978,4.8737259897,3.0000231272,1.1263202647,-0.7473825978,98.5896071661,99.2640985688,99.6015932501,99.2483134385,100.0000000000,100.0000000000,
0.0011620000,0.0020260200,0.0028700400,0.0037140650,0.0046380850,0.0057421051,0.0066061251,0.0074701451,0.0083541651,4.8737259897,1.1263202647,3.7471059325,-0.7473825978,6.7474288522,6.7474288522,3.0000231272,6.7474288522,3.0000231272,100.9368514313,101.8736528625,101.9203536046,100.4276284114,100.0000000000,100.0000000000,
0.0018380173,0.0027220373,0.0036260574,0.0044900774,0.0054140974,0.0063781174,0.0072421374,0.0080861574,0.0096701824,-0.7473825978,4.8737259897,1.1263202647,4.8737259897,-0.7473825978,6.7474288522,1.1263202647,7.4945116575,6.7474288522,100.7500000000,100.2009500000,103.0174749896,101.1457645566,100.0000000000,100.0000000000,
0.0011820000,0.0027220381,0.0036660631,0.0046300831,0.0055141031,0.0064381231,0.0072821431,0.0084661631,0.0095101832,1.1263202647,3.7471059325,1.1263202647,-0.7473825978,6.7474288522,4.8737259897,3.0000231272,4.8737259897,3.0000231272,100.9368514313,100.9368014312,100.5958378360,100.9386294199,100.0000000000,100.0000000000,
0.0019380200,0.0029220400,0.0038660600,0.0047100801,0.0055541001,0.0064381201,0.0082181401,0.0103381601,0.0111821851,3.0000231272,-0.7473825978,-0.7473825978,6.7474288522,6.7474288522,1.1263202647,1.1263202647,1.8734030700,6.7474288522,99.0631485687,99.2640985688,97.6427817492,102.6671478187,100.0000000000,100.0000000000,
0.0012220000,0.0027820450,0.0036460650,0.0045100850,0.0053741051,0.0062181251,0.0071221451,0.0080061651,0.0098101851,-0.0002997925,4.8737259897,6.7474288522,6.7474288522,4.8737259897,1.1263202647,3.0000231272,3.0000231272,-0.7473825978,101.4001614598,100.4275414027,101.5148261876,101.1109169953,100.0000000000,100.0000000000,
0.0012420000,0.0022060200,0.0031100400,0.0040340600,0.0048980801,0.0063981071,0.0073021321,0.0085061521,0.0095701721,-0.7473825978,3.0000231272,-0.7473825978,1.1263202647,6.7474288522,5.6208087950,-0.7473825978,4.8737259897,-0.7473825978,99.2500000000,100.2009500000,100.5953345741,98.9100885708,100.0000000000,100.0000000000,
0.0012220000,0.0021060200,0.0029700400,0.0038140600,0.0048180801,0.0063781181,0.0072221431,0.0084261631,0.0097501832,3.0000231272,1.1263202647,1.1263202647,4.8737259897,6.7474288522,-0.0002997925,6.7474288522,6.7474288522,3.0000231272,101.2133100286,97.6169871089,99.5653446416,97.4364034459,100.0000000000,100.0000000000,
0.0011620000,0.0020260200,0.0030300450,0.0039740650,0.0048780850,0.0064181251,0.0075021451,0.0088661651,0.0100701851,4.8737259897,5.6208087950,1.1263202647,-0.7473825978,-0.7473825978,3.0000231272,1.1263202647,6.7474288522,3.0000231272,100.7500000000,99.0631485687,100.1356736042,99.4849674366,100.0000000000,100.0000000000,
0.0012220000,0.0020660200,0.0029500400,0.0044900831,0.0053341031,0.0061981281,0.0070621481,0.0079461681,0.0088501881,4.8737259897,1.1263202647,6.7474288522,1.1263202647,7.4945116575,4.8737259897,3.0000231272,-0.7473825978,4.8737259897,98.5000000000,100.9368014312,97.1182439499,100.6123660208,100.0000000000,100.0000000000,
0.0011420000,0.0020260200,0.0029100400,0.0038340600,0.0047780801,0.0063381174,0.0072621374,0.0088661624,0.0098701824,-0.7473825978,4.8737259897,1.1263202647,4.8737259897,3.0000231272,-0.7473825978,-0.0002997925,-0.7473825978,4.8737259897,100.7500000000,99.9999500000,99.1590957538,98.1976149232,100.0000000000,100.0000000000,
0.0011420000,0.0022860200,0.0037860551,0.0046500801,0.0054941001,0.0064581201,0.0073021401,0.0084461601,0.0099101801,4.8737259897,1.1263202647,1.8734030700,4.8737259897,-0.7473825978,1.1263202647,1.1263202647,-0.7473825978,6.7474288522,99.2500000000,99.2640985688,97.9979843286,96.2339194470,100.0000000000,100.0000000000,
