Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011620000,0.0021260200,0.0030100400,0.0038540600,0.0047980801,0.0057021001,0.0065661251,0.0074301451,0.0082941651,3.0000231272,6.7474288522,4.8737259897,-0.7473825978,4.8737259897,3.7471059325,-0.7473825978,1.1263202647,-0.7473825978,100.7500000000,100.0000000000,100.8434059726,98.4522549673,100.0000000000,100.0000000000,
0.0012020000,0.0020460200,0.0029300400,0.0037740600,0.0046180801,0.0061581174,0.0070021374,0.0080461574,0.0096301824,-0.7473825978,1.1263202647,4.8737259897,-0.7473825978,1.1263202647,6.7474288522,-0.7473825978,3.7471059325,4.8737259897,99.0631485687,98.8621485688,98.1102149512,99.0465808960,100.0000000000,100.0000000000,
0.0011420000,0.0019860200,0.0029100400,0.0039140600,0.0047780801,0.0056221001,0.0065061201,0.0073901451,0.0083541651,3.0000231272,3.0000231272,4.8737259897,3.0000231272,1.1263202647,-0.7473825978,1.8734030700,3.0000231272,-0.7473825978,100.7500000000,99.7990000000,100.5549770929,100.3541121209,100.0000000000,100.0000000000,
0.0011820000,0.0020460200,0.0028900450,0.0037740650,0.0046180850,0.0055021051,0.0064461251,0.0072901451,0.0082741651,1.1263202647,-0.0002997925,6.7474288522,6.7474288522,4.8737259897,-0.7473825978,6.7474288522,-0.7473825978,-0.7473825978,99.5264585973,100.0000000000,97.4123097049,99.7044159935,100.0000000000,100.0000000000,
0.0011420000,0.0034180616,0.0042620816,0.0051461017,0.0062101217,0.0070941417,0.0084781617,0.0107781817,0.0132222067,3.0000231272,1.1263202647,6.7474288522,1.1263202647,-0.7473825978,4.8737259897,4.8737259897,5.6208087950,-0.7473825978,100.0000000000,100.7358514312,99.1251174581,101.8134171924,100.0000000000,100.0000000000,
0.0011420000,0.0020860200,0.0029500400,0.0037940600,0.0046980850,0.0056221051,0.0065061251,0.0074701451,0.0083141651,3.0000231272,3.0000231272,3.0000231272,5.6208087950,4.8737259897,3.0000231272,6.7474288522,4.8737259897,4.8737259897,100.7500000000,99.9999500000,101.2407509446,100.2840377803,100.0000000000,100.0000000000,
0.0011820000,0.0020260200,0.0029500400,0.0046300844,0.0054941044,0.0063581244,0.0072421444,0.0082661644,0.0099901844,6.7474288522,-0.7473825978,1.8734030700,6.7474288522,4.8737259897,1.1263202647,6.7474288522,1.1263202647,4.8737259897,99.3396071661,101.3643928339,100.4870744518,102.5306374222,100.0000000000,100.0000000000,
0.0012020000,0.0020860200,0.0029900400,0.0044700831,0.0054141031,0.0063381231,0.0071821481,0.0092221681,0.0102661881,4.8737259897,1.1263202647,-0.7473825978,3.0000231272,4.8737259897,1.8734030700,-0.7473825978,4.8737259897,4.8737259897,99.8131485687,99.9999500000,99.8394887851,101.2841545374,100.0000000000,100.0000000000,
0.0025140347,0.0033780547,0.0049980940,0.0058421140,0.0074221514,0.0084861714,0.0094501914,0.0107542114,0.0118582314,-0.7473825978,3.0000231272,-0.7473825978,-0.7473825978,4.8737259897,6.7474288522,6.7474288522,6.7474288522,1.8734030700,99.2500000000,98.5000000000,100.2357425383,96.6768399508,100.0000000000,100.0000000000,
0.0011820000,0.0020860200,0.0029300400,0.0039540650,0.0047980850,0.0063581244,0.0072021444,0.0080461644,0.0097701844,4.8737259897,3.0000231272,1.8734030700,4.8737259897,6.7474288522,4.8737259897,3.0000231272,1.1263202647,6.7474288522,100.2764585973,99.2640985688,101.0063322639,97.1324849312,100.0000000000,100.0000000000,
0.0018180173,0.0027020373,0.0036860574,0.0045900774,0.0054340974,0.0063181224,0.0072021424,0.0080461624,0.0091901824,6.7474288522,3.0000231272,1.1263202647,3.0000231272,3.7471059325,6.7474288522,4.8737259897,-0.7473825978,-0.7473825978,100.7500000000,101.1378014312,103.3759122372,100.9765172473,100.0000000000,100.0000000000,
0.0024740416,0.0017580186,0.0043220866,0.0052661066,0.0061901267,0.0070741467,0.0081181667,0.0091421867,0.0101262067,3.0000231272,230852.2684501045,1.1263202647,1.1263202647,4.8737259897,6.7474288522,1.1263202647,3.0000231272,1.1263202647,100.0000000000,99.9999500000,-1464550497.6529662609,1373654703.8301699162,100.0000000000,100.0000000000,
0.0012220000,0.0028020342,0.0042820650,0.0051260850,0.0059901050,0.0068741250,0.0079381451,0.0091821651,0.0110661851,-0.7473825978,4.8737259897,6.7474288522,3.0000231272,-0.7473825978,4.8737259897,-0.7473825978,6.7474288522,3.7471059325,100.0000000000,99.9999500000,100.5158647052,99.2031156081,100.0000000000,100.0000000000,
0.0026540252,0.0035180452,0.0044020702,0.0053260902,0.0061901102,0.0079301503,0.0088941703,0.0103781903,0.0118022103,1.1263202647,7.4945116575,1.1263202647,4.8737259897,6.7474288522,-0.7473825978,-0.7473825978,4.8737259897,6.7474288522,100.9368514313,98.5000000000,99.5815142619,97.3328301673,100.0000000000,100.0000000000,
0.0011820000,0.0020260250,0.0029300450,0.0038540650,0.0048780850,0.0057821051,0.0072821424,0.0087461624,0.0099901824,5.6208087950,-0.7473825978,1.1263202647,3.0000231272,-0.7473825978,4.8737259897,6.7474288522,1.1263202647,1.1263202647,99.0631485687,98.8621485688,101.4029093798,98.9948692260,100.0000000000,100.0000000000,
0.0011420000,0.0020460200,0.0028900400,0.0037340600,0.0045980801,0.0055221001,0.0063861201,0.0074301401,0.0082941651,6.7474288522,6.7474288522,6.7474288522,6.7474288522,1.1263202647,-0.7473825978,4.8737259897,7.4945116575,1.1263202647,100.9368514313,100.9368014312,98.4735757125,102.6763687488,100.0000000000,100.0000000000,
0.0011420000,0.0020260200,0.0030100400,0.0038540600,0.0055140994,0.0069941294,0.0085581494,0.0097221744,0.0110861944,3.0000231272,6.7474288522,6.7474288522,-0.7473825978,1.1263202647,4.8737259897,7.4945116575,6.7474288522,4.8737259897,98.8762971375,97.4019000000,100.1293104592,100.0366667670,100.0000000000,100.0000000000,
0.0011420000,0.0020460200,0.0030100400,0.0045100700,0.0053940901,0.0063181151,0.0072021351,0.0081061551,0.0094301751,1.1263202647,6.7474288522,1.1263202647,6.7474288522,5.6208087950,1.1263202647,1.1263202647,1.1263202647,-0.7473825978,100.9368514313,100.0000000000,100.7794618653,100.6245334277,100.0000000000,100.0000000000,
