Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011620000,0.0020660200,0.0029300400,0.0038140600,0.0048380801,0.0056821001,1.1263202647,4.8737259897,-0.7473825978,-0.7473825978,1.1263202647,4.8737259897,99.2500000000,99.0630985688,100.5450350181,101.6416685134,100.0000000000,100.0000000000,
0.0012020000,0.0022060200,0.0030500400,0.0039740600,0.0049380801,0.0058621001,6.7474288522,4.8737259897,1.1263202647,-0.7473825978,3.0000231272,3.0000231272,99.4368514313,101.8737028625,98.1477877459,100.6662677772,100.0000000000,100.0000000000,
0.0011420000,0.0020060200,0.0030100400,0.0046300801,0.0056741001,0.0070781201,4.8737259897,1.1263202647,3.0000231272,6.7474288522,3.0000231272,3.0000231272,101.6868514313,100.2009500000,102.9163487333,101.2380514416,100.0000000000,100.0000000000,
0.0011420000,0.0020660200,0.0037860574,0.0046500774,0.0054940974,0.0065581174,-0.7473825978,1.1263202647,6.7474288522,4.8737259897,-0.7473825978,1.1263202647,100.9368514313,101.5000000000,98.5613862481,102.5737673560,100.0000000000,100.0000000000,
0.0012420000,0.0021060200,0.0029700400,0.0038540600,0.0046980801,0.0056421001,6.7474288522,-0.7473825978,3.0000231272,1.1263202647,1.1263202647,-0.7473825978,98.5000000000,98.8621485688,98.7925924050,98.1390243232,100.0000000000,100.0000000000,
0.0011420000,0.0020060200,0.0030500400,0.0038940600,0.0048380801,0.0058421001,6.7474288522,6.7474288522,3.0000231272,4.8737259897,6.7474288522,4.8737259897,101.1237028625,99.2640985688,100.7414296470,98.6253836963,100.0000000000,100.0000000000,
0.0019180193,0.0030820393,0.0046020735,0.0059060935,0.0081661135,0.0098501336,1.1263202647,-0.7473825978,3.0000231272,6.7474288522,4.8737259897,3.0000231272,98.1262971375,100.3621485688,100.2939408102,100.0869552100,100.0000000000,100.0000000000,
0.0011620000,0.0020260200,0.0036060600,0.0045900801,0.0054941001,0.0064381201,1.1263202647,6.7474288522,-0.7473825978,1.1263202647,3.0000231272,3.0000231272,99.4368514313,98.1262971375,100.7768970538,99.4717457398,100.0000000000,100.0000000000,
0.0012220000,0.0047740594,0.0058180794,0.0066620994,0.0075461194,0.0087701394,6.7474288522,-0.7473825978,1.1263202647,6.7474288522,6.7474288522,1.1263202647,100.1868514313,97.7640985688,102.9149906438,98.8667609493,100.0000000000,100.0000000000,
0.0012420000,0.0020860200,0.0029300400,0.0037940600,0.0047580801,0.0058621001,3.0000231272,3.0000231272,4.8737259897,3.0000231272,1.1263202647,4.8737259897,100.5631485687,100.9368514313,101.7625727256,100.1958731673,100.0000000000,100.0000000000,
0.0012220000,0.0020860200,0.0030700400,0.0039340600,0.0048380801,0.0058021001,6.7474288522,6.7474288522,-0.7473825978,1.1263202647,3.0000231272,3.0000231272,99.0631485687,100.0000000000,99.4786443446,100.8004771356,100.0000000000,100.0000000000,
0.0012420000,0.0028620393,0.0039260594,0.0048300794,0.0056940994,0.0067381194,6.7474288522,1.1263202647,1.1263202647,4.8737259897,4.8737259897,3.0000231272,100.0000000000,99.9999500000,98.7943898228,100.7385383494,100.0000000000,100.0000000000,
0.0011420000,0.0021460200,0.0030300400,0.0039140600,0.0047580801,0.0056821001,3.0000231272,1.1263202647,4.8737259897,1.1263202647,4.8737259897,6.7474288522,100.0000000000,99.9999500000,99.8209592260,96.6438410203,100.0000000000,100.0000000000,
0.0012020000,0.0021060200,0.0030500400,0.0041140600,0.0049980801,0.0058821001,-0.7473825978,6.7474288522,1.1263202647,1.1263202647,6.7474288522,1.1263202647,99.4368514313,100.9368514313,98.1704709555,96.8397729573,100.0000000000,100.0000000000,
0.0011620000,0.0028220342,0.0037860542,0.0046700742,0.0061740942,0.0070181142,-0.7473825978,3.0000231272,6.7474288522,1.1263202647,-0.7473825978,3.0000231272,99.0631485687,101.2990000000,98.9271353499,98.7117758927,100.0000000000,100.0000000000,
0.0012620000,0.0021660200,0.0030700400,0.0046700794,0.0058140994,0.0072581194,4.8737259897,-0.7473825978,3.0000231272,3.0000231272,6.7474288522,6.7474288522,97.0000000000,100.0000000000,96.4085564325,98.2133772494,100.0000000000,100.0000000000,
0.0011420000,0.0035980600,0.0045020801,0.0054861001,0.0071501201,0.0080541401,4.8737259897,3.0000231272,4.8737259897,-0.7473825978,1.1263202647,3.0000231272,100.5631485687,98.1262971375,99.8453094900,99.5597421677,100.0000000000,100.0000000000,
0.0011620000,0.0020060200,0.0030500400,0.0038940600,0.0048780801,0.0058221001,4.8737259897,-0.7473825978,6.7474288522,-0.7473825978,6.7474288522,-0.7473825978,100.0000000000,100.2009500000,103.6925503050,100.4945643357,100.0000000000,100.0000000000,
0.0011420000,0.0020060200,0.0028700400,0.0037340600,0.0045780801,0.0055621001,3.0000231272,4.8737259897,-0.7473825978,3.0000231272,4.8737259897,-0.7473825978,98.5000000000,98.5000000000,99.3038933851,98.1954092219,100.0000000000,100.0000000000,
0.0019780200,0.0028820400,0.0047620774,0.0057660974,0.0070501174,0.0079341374,-0.7473825978,4.8737259897,3.0000231272,1.1263202647,6.7474288522,1.1263202647,99.4368514313,99.0631485687,96.9840219924,101.2308850845,100.0000000000,100.0000000000,
