Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0013420000,0.0021860200,0.0031900400,0.0047900801,0.0062141001,0.0070781201,3.0000231272,6.7474288522,1.1263202647,1.1263202647,1.1263202647,1.1263202647,100.7500000000,100.2009500000,103.6070599203,100.7849129827,100.0000000000,100.0000000000,
0.0012020000,0.0020460200,0.0029100400,0.0037540600,0.0046380801,0.0054821001,4.8737259897,3.0000231272,1.1263202647,3.0000231272,6.7474288522,4.8737259897,100.5631485687,100.9368514313,101.2771160154,100.5617549626,100.0000000000,100.0000000000,
0.0014220000,0.0023060200,0.0032300400,0.0040940600,0.0059540801,0.0074781001,3.0000231272,3.0000231272,6.7474288522,1.1263202647,1.1263202647,3.0000231272,99.0631485687,100.9368514313,100.1877239830,99.2032579053,100.0000000000,100.0000000000,
0.0011420000,0.0020260200,0.0029900400,0.0040140600,0.0048980801,0.0058621001,1.1263202647,-0.7473825978,3.0000231272,-0.7473825978,1.1263202647,3.0000231272,100.0000000000,100.0000000000,99.3493667406,99.8389827478,100.0000000000,100.0000000000,
0.0011620000,0.0021860200,0.0030300400,0.0038740600,0.0047380801,0.0058021001,6.7474288522,3.0000231272,1.1263202647,1.1263202647,3.0000231272,1.1263202647,100.0000000000,100.9368514313,101.0298633053,102.1293795924,100.0000000000,100.0000000000,
0.0019780200,0.0029620400,0.0046020700,0.0055460901,0.0072301101,0.0090941301,3.0000231272,4.8737259897,6.7474288522,-0.7473825978,3.0000231272,3.0000231272,98.8762971375,101.6727028625,100.5298380722,101.2830600232,100.0000000000,100.0000000000,
0.0011420000,0.0021060200,0.0030100400,0.0038540600,0.0048980801,0.0057821001,4.8737259897,6.7474288522,6.7474288522,-0.7473825978,-0.7473825978,-0.7473825978,99.2500000000,99.9999500000,96.6878477027,101.0605544659,100.0000000000,100.0000000000,
0.0011820000,0.0020860200,0.0030700400,0.0039740600,0.0049780801,0.0058421001,-0.7473825978,1.1263202647,4.8737259897,6.7474288522,4.8737259897,3.0000231272,98.1262971375,100.3621485688,100.8122951672,102.1651095599,100.0000000000,100.0000000000,
0.0013420000,0.0022460200,0.0039260600,0.0047700801,0.0059341001,0.0068381201,3.0000231272,6.7474288522,-0.7473825978,1.1263202647,-0.7473825978,4.8737259897,100.5631485687,100.0000000000,103.5890153105,100.1719170444,100.0000000000,100.0000000000,
0.0012220000,0.0028620342,0.0038260542,0.0046900742,0.0059940942,0.0073981142,3.0000231272,-0.7473825978,6.7474288522,1.1263202647,4.8737259897,4.8737259897,98.3131485687,99.6378014312,99.9646740887,99.3589626258,100.0000000000,100.0000000000,
