Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0012620000,0.0022260400,0.0033500801,4.1263433919,6.0000462544,9.7474519794,101.8737028625,103.9368514313,102.4588443765,104.0399981488,100.0000000000,100.0000000000,
0.0014420000,0.0023860400,0.0034100801,6.0000462544,9.7474519794,9.7474519794,98.1262971375,101.1262971375,97.5411556235,97.5411556235,100.0000000000,100.0000000000,
0.0013420000,0.0023860400,0.0032500801,2.2526405294,9.7474519794,9.7474519794,103.7474057250,100.0000000000,103.7474346140,96.2525653860,100.0000000000,100.0000000000,
0.0023380400,0.0039620801,0.0051261201,9.7474519794,6.0000462544,9.7474519794,100.0000000000,104.8737028625,100.0000000000,104.9176887530,100.0000000000,100.0000000000,
0.0012820000,0.0022860400,0.0033900801,9.7474519794,4.1263433919,2.2526405294,100.9368514313,100.0000000000,100.4980133514,93.0031441234,100.0000000000,100.0000000000,
0.0014420000,0.0024660400,0.0033100801,4.1263433919,9.7474519794,9.7474519794,100.0000000000,105.8105542938,100.0000000000,106.4988425252,100.0000000000,100.0000000000,
0.0013420000,0.0022460400,0.0033100801,2.2526405294,9.7474519794,2.2526405294,97.0000000000,103.0000000000,96.2525653860,103.7474346140,100.0000000000,100.0000000000,
0.0013420000,0.0023060400,0.0031700801,7.8737491169,9.7474519794,4.1263433919,97.1894457062,101.1262971375,96.7505787374,99.5019866486,100.0000000000,100.0000000000,
0.0014820000,0.0024460400,0.0033100801,7.8737491169,4.1263433919,9.7474519794,99.0631485687,104.8737028625,98.6242960444,105.1231385696,100.0000000000,100.0000000000,
0.0011420000,0.0021260400,0.0029700801,6.0000462544,2.2526405294,9.7474519794,103.7474057250,101.1262971375,103.7474346140,101.1702541390,100.0000000000,100.0000000000,
0.0011420000,0.0022860400,0.0033700801,9.7474519794,9.7474519794,6.0000462544,98.1262971375,101.1262971375,97.5411556235,97.5411556235,100.0000000000,100.0000000000,
0.0011820000,0.0022260400,0.0032900801,7.8737491169,6.0000462544,2.2526405294,98.1262971375,100.1894457063,98.7114097625,96.5451289207,100.0000000000,100.0000000000,
0.0011820000,0.0022460400,0.0032300801,6.0000462544,4.1263433919,7.8737491169,99.0631485687,101.1262971375,99.2094231139,97.0431422721,100.0000000000,100.0000000000,
0.0016020000,0.0024660400,0.0033100801,7.8737491169,2.2526405294,9.7474519794,96.2525942750,100.1894457063,96.2525653860,99.0039732972,100.0000000000,100.0000000000,
0.0014020000,0.0023060400,0.0034100801,2.2526405294,6.0000462544,9.7474519794,98.1262971375,100.0000000000,98.7114097625,93.7937210095,100.0000000000,100.0000000000,
0.0014220000,0.0024460400,0.0033100801,6.0000462544,9.7474519794,2.2526405294,96.2525942750,101.1262971375,96.2525653860,101.1702541390,100.0000000000,100.0000000000,
0.0011620000,0.0021060400,0.0030700801,4.1263433919,4.1263433919,2.2526405294,100.0000000000,103.9368514313,100.0000000000,100.9960267028,100.0000000000,100.0000000000,
0.0014420000,0.0023860400,0.0033900801,6.0000462544,6.0000462544,9.7474519794,100.0000000000,101.1262971375,100.0000000000,95.0823112470,100.0000000000,100.0000000000,
0.0011620000,0.0021660400,0.0032300801,6.0000462544,9.7474519794,2.2526405294,101.1262971375,104.8737028625,102.4588443765,105.0360248515,100.0000000000,100.0000000000,
0.0013020000,0.0023860400,0.0033100801,6.0000462544,7.8737491169,7.8737491169,100.9368514313,102.0631485687,101.0831404209,98.9168595791,100.0000000000,100.0000000000,
0.0013820000,0.0022460400,0.0034100801,4.1263433919,6.0000462544,2.2526405294,98.1262971375,102.0631485687,98.7114097625,100.2925635347,100.0000000000,100.0000000000,
0.0014020000,0.0022460400,0.0033500801,2.2526405294,6.0000462544,6.0000462544,100.0000000000,104.8737028625,100.0000000000,102.5771804750,100.0000000000,100.0000000000,
0.0012620000,0.0022260400,0.0033300801,9.7474519794,4.1263433919,6.0000462544,98.1262971375,103.9368514313,97.5411556235,104.0399981488,100.0000000000,100.0000000000,
0.0012020000,0.0021860400,0.0033300801,7.8737491169,4.1263433919,6.0000462544,100.9368514313,101.1262971375,100.7905768861,97.0431422721,100.0000000000,100.0000000000,
0.0016420000,0.0025460400,0.0034100801,9.7474519794,4.1263433919,7.8737491169,97.1894457062,101.1262971375,96.7505787374,99.5019866486,100.0000000000,100.0000000000,
0.0015220000,0.0023860400,0.0032500801,4.1263433919,9.7474519794,2.2526405294,100.9368514313,100.0000000000,100.4980133514,93.0031441234,100.0000000000,100.0000000000,
0.0011620000,0.0021660400,0.0030700801,6.0000462544,4.1263433919,9.7474519794,100.9368514313,100.1894457062,100.7905768861,94.2917343609,100.0000000000,100.0000000000,
0.0012420000,0.0021260400,0.0032700801,6.0000462544,7.8737491169,9.7474519794,100.9368514313,101.1262971375,101.0831404209,96.1654516679,100.0000000000,100.0000000000,
0.0014820000,0.0024460400,0.0033900801,7.8737491169,7.8737491169,9.7474519794,99.0631485687,103.0000000000,98.6242960444,101.3757039556,100.0000000000,100.0000000000,
0.0011620000,0.0021060400,0.0032500801,4.1263433919,7.8737491169,6.0000462544,99.0631485687,103.9368514313,98.9168595791,102.6642941931,100.0000000000,100.0000000000,
