Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0013420000,0.0021860400,0.0031900801,0.0047901601,0.0062142001,0.0070782402,6.0000462544,9.7474519794,4.1263433919,4.1263433919,4.1263433919,4.1263433919,101.5000000000,100.4019000000,103.2774144785,100.7420575705,100.0000000000,100.0000000000,
0.0012020000,0.0020460400,0.0029100801,0.0037541201,0.0046381601,0.0054822001,7.8737491169,6.0000462544,4.1263433919,6.0000462544,9.7474519794,7.8737491169,100.9368514313,100.9368514313,101.2692975576,100.4682062185,100.0000000000,100.0000000000,
0.0014220000,0.0023060400,0.0032300801,0.0040941201,0.0059541601,0.0074782001,6.0000462544,6.0000462544,9.7474519794,4.1263433919,4.1263433919,6.0000462544,99.0631485687,100.9368514313,99.9751004785,99.4644395646,100.0000000000,100.0000000000,
0.0011420000,0.0020260400,0.0029900801,0.0040141201,0.0048981601,0.0058622001,4.1263433919,2.2526405294,6.0000462544,2.2526405294,4.1263433919,6.0000462544,100.0000000000,100.0000000000,98.9962818019,99.7515961573,100.0000000000,100.0000000000,
0.0011620000,0.0021860400,0.0030300801,0.0038741201,0.0047381601,0.0058022001,9.7474519794,6.0000462544,4.1263433919,4.1263433919,6.0000462544,4.1263433919,100.0000000000,100.9368514313,101.0436536206,101.9267953776,100.0000000000,100.0000000000,
0.0019780400,0.0029620801,0.0046021401,0.0055461801,0.0072302202,0.0090942602,6.0000462544,7.8737491169,9.7474519794,2.2526405294,6.0000462544,6.0000462544,99.6262971375,101.4717028625,100.2207980109,101.2901532234,100.0000000000,100.0000000000,
0.0011420000,0.0021060400,0.0030100801,0.0038541201,0.0048981601,0.0057822001,7.8737491169,9.7474519794,9.7474519794,2.2526405294,2.2526405294,2.2526405294,98.5000000000,99.9999000000,96.4919616572,100.9609834028,100.0000000000,100.0000000000,
0.0011820000,0.0020860400,0.0030700801,0.0039741201,0.0049781601,0.0058422001,2.2526405294,4.1263433919,7.8737491169,9.7474519794,7.8737491169,6.0000462544,98.1262971375,101.6611485688,100.2564543524,101.7767849918,100.0000000000,100.0000000000,
0.0013420000,0.0022460400,0.0039261201,0.0047701601,0.0059342001,0.0068382402,6.0000462544,9.7474519794,2.2526405294,4.1263433919,2.2526405294,7.8737491169,102.0631485687,100.0000000000,103.3403673100,99.8425055576,100.0000000000,100.0000000000,
0.0012220000,0.0028620683,0.0038261084,0.0046901484,0.0059941884,0.0073982284,6.0000462544,2.2526405294,9.7474519794,4.1263433919,7.8737491169,7.8737491169,98.1262971375,98.5281971375,99.3931988837,99.0604958821,100.0000000000,100.0000000000,
0.0011620000,0.0020660400,0.0029300801,0.0038141201,0.0048381601,0.0056822001,4.1263433919,7.8737491169,2.2526405294,2.2526405294,4.1263433919,7.8737491169,99.0631485687,99.0630485687,100.4012614805,101.7333158919,100.0000000000,100.0000000000,
0.0012020000,0.0022060400,0.0030500801,0.0039741201,0.0049381601,0.0058622001,9.7474519794,7.8737491169,4.1263433919,2.2526405294,6.0000462544,6.0000462544,98.1262971375,101.8737028625,98.5553028423,100.5455694701,100.0000000000,100.0000000000,
0.0011420000,0.0020060400,0.0030100801,0.0046301601,0.0056742001,0.0070782402,7.8737491169,4.1263433919,6.0000462544,9.7474519794,6.0000462544,6.0000462544,101.8737028625,100.4019000000,102.6259009566,101.1560017583,100.0000000000,100.0000000000,
0.0011420000,0.0020660400,0.0037861147,0.0046501547,0.0054941948,0.0065582348,2.2526405294,4.1263433919,9.7474519794,7.8737491169,2.2526405294,4.1263433919,100.9368514313,102.8105542937,99.0415728152,102.7261606348,100.0000000000,100.0000000000,
0.0012420000,0.0021060400,0.0029700801,0.0038541201,0.0046981601,0.0056422001,9.7474519794,2.2526405294,6.0000462544,4.1263433919,4.1263433919,2.2526405294,98.1262971375,98.6611485688,98.1990814365,97.7769451679,100.0000000000,100.0000000000,
0.0011420000,0.0020060400,0.0030500801,0.0038941201,0.0048381601,0.0058422001,9.7474519794,9.7474519794,6.0000462544,7.8737491169,9.7474519794,7.8737491169,100.3737028625,99.4650485688,100.6260476495,98.9679045581,100.0000000000,100.0000000000,
0.0019180387,0.0030820787,0.0046021470,0.0059061871,0.0081662271,0.0098502671,4.1263433919,2.2526405294,6.0000462544,9.7474519794,7.8737491169,6.0000462544,98.1262971375,100.9367514313,99.5129244363,99.9874085110,100.0000000000,100.0000000000,
0.0011620000,0.0020260400,0.0036061201,0.0045901601,0.0054942001,0.0064382402,4.1263433919,9.7474519794,2.2526405294,4.1263433919,6.0000462544,6.0000462544,99.0631485687,98.1262971375,100.3492077295,99.0816172497,100.0000000000,100.0000000000,
0.0012220000,0.0047741187,0.0058181587,0.0066621988,0.0075462388,0.0087702788,9.7474519794,2.2526405294,4.1263433919,9.7474519794,9.7474519794,4.1263433919,100.0000000000,96.6544942750,102.4912865001,98.7618957623,100.0000000000,100.0000000000,
0.0012420000,0.0020860400,0.0029300801,0.0037941201,0.0047581601,0.0058622001,6.0000462544,6.0000462544,7.8737491169,6.0000462544,4.1263433919,7.8737491169,100.9368514313,100.9368514313,101.6199815071,100.3165505495,100.0000000000,100.0000000000,
0.0012220000,0.0020860400,0.0030700801,0.0039341201,0.0048381601,0.0058022001,9.7474519794,9.7474519794,2.2526405294,4.1263433919,6.0000462544,6.0000462544,99.0631485687,99.9999000000,99.3177683252,100.3190455528,100.0000000000,100.0000000000,
0.0012420000,0.0028620787,0.0039261187,0.0048301587,0.0056941988,0.0067382388,9.7474519794,4.1263433919,4.1263433919,7.8737491169,7.8737491169,6.0000462544,99.4368514313,99.9999000000,99.0859606640,100.5598909683,100.0000000000,100.0000000000,
0.0011420000,0.0021460400,0.0030300801,0.0039141201,0.0047581601,0.0056822001,6.0000462544,4.1263433919,7.8737491169,4.1263433919,7.8737491169,9.7474519794,100.5631485687,99.9999000000,99.9094362037,97.2370313110,100.0000000000,100.0000000000,
