Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
9.99973,7.05996,7.08784,100.02,95.0046,100.053,95,
10,7.01709,7.13056,100.08,95.0042,100.114,95,
10.0006,6.97542,7.17403,100.141,95.0049,100.174,95,
10.0017,6.9312,7.21825,100.203,95.0039,100.234,95,
6.89583,7.25588,10.0033,100.255,95.0034,100.294,95,
10.0044,7.29395,6.84966,100.314,94.9972,100.347,95,
10.0063,7.33562,6.81143,100.371,94.9977,100.404,95,
6.78535,10.0087,7.38089,100.422,95.0085,100.459,95,
6.74233,10.0114,7.42526,100.484,95.0068,100.518,95,
10.0141,6.69916,7.47038,100.546,95.006,100.58,95,
7.50201,6.66019,10.0183,100.596,94.9952,100.635,95,
10.0207,7.54743,6.61987,100.657,94.9978,100.69,95,
10.0248,7.59329,6.58059,100.718,94.9985,100.75,95,
10.0288,7.63451,6.54522,100.772,94.9986,100.804,95,
7.67274,6.51149,10.0347,100.824,94.9941,100.864,95,
7.71966,10.0393,6.46802,100.888,94.9927,100.926,95,
6.44314,10.0444,7.77332,100.946,95.0079,100.981,95,
7.8039,10.0498,6.39817,100.998,94.992,101.037,95,
7.84647,10.0552,6.36519,101.053,94.9935,101.087,95,
10.0613,7.90088,6.32472,101.121,94.9983,101.163,95,
6.29099,10.0702,7.96249,101.191,95.008,101.227,95,
10.0768,8.01225,6.23658,101.265,95.0004,101.315,95,
10.0873,6.20016,8.07461,101.338,95.0068,101.37,95,
10.0952,8.11463,6.16118,101.394,94.999,101.428,95,
10.1039,8.16305,6.12596,101.455,94.9992,101.488,95,
6.10258,8.20637,10.1144,101.505,94.9992,101.549,95,
10.121,6.06465,8.25973,101.572,95.0067,101.601,95,
10.1294,8.29885,6.02868,101.626,95.0003,101.661,95,
10.1391,6.00065,8.35102,101.687,95.0072,101.718,95,
8.38864,5.96662,10.152,101.738,94.9921,101.78,95,
8.43121,5.93799,10.1615,101.791,94.9917,101.835,95,
8.47978,10.1706,5.90276,101.853,94.9933,101.891,95,
10.179,5.87848,8.53464,101.914,95.0086,101.946,95,
8.56777,10.1911,5.8446,101.962,94.9924,102.002,95,
8.61619,5.81852,10.2039,102.019,94.9928,102.056,95,
10.2118,8.66595,5.78734,102.08,95.0015,102.114,95,
10.2237,5.76276,8.71722,102.139,95.0076,102.169,95,
5.73953,8.75604,10.2378,102.186,94.9993,102.222,95,
10.2471,8.80266,5.7049,102.247,95.0014,102.281,95,
10.2611,5.67867,8.85962,102.312,95.0079,102.343,95,
8.89289,5.65349,10.277,102.356,94.9905,102.402,95,
10.2878,8.95075,5.62096,102.426,95.0016,102.46,95,
8.99527,10.3042,5.59368,102.481,94.9926,102.521,95,
5.57539,9.04669,10.3195,102.538,94.9973,102.576,95,
5.55186,10.3311,9.09855,102.598,95.0071,102.63,95,
5.52398,10.3475,9.15656,102.666,95.0108,102.712,95,
5.49265,10.3665,9.21457,102.737,95.0074,102.769,95,
9.2486,5.46717,10.3833,102.782,94.99,102.824,95,
9.29566,5.44468,10.3989,102.838,94.989,102.883,95,
5.42489,9.35248,10.4151,102.902,94.9975,102.941,95,
10.4265,9.39894,5.39806,102.96,95.0028,102.993,95,
10.4418,9.44421,5.37813,103.013,95.0028,103.048,95,
10.4598,5.35714,9.50402,103.081,95.0106,103.112,95,
9.53985,5.33765,10.4809,103.126,94.99,103.165,95,
10.4929,9.59171,5.31667,103.187,95.0033,103.22,95,
10.51,5.30018,9.64507,103.247,95.01,103.277,95,
5.28309,9.68944,10.5329,103.299,94.9956,103.338,95,
5.26406,10.5495,9.75195,103.37,95.0112,103.408,95,
5.24382,10.5708,9.80456,103.432,95.0071,103.462,95,
9.84369,10.59,5.22164,103.482,94.9933,103.522,95,
9.8885,5.20859,10.6103,103.533,94.9878,103.576,95,
9.93602,10.6261,5.19151,103.589,94.9923,103.632,95,
5.18026,10.6455,9.99898,103.657,95.0081,103.689,95,
10.6615,5.16482,10.049,103.715,95.0161,103.749,95,
10.0889,5.14909,10.6903,103.764,94.9867,103.809,95,
10.7054,10.146,5.1335,103.829,95.0041,103.864,95,
10.1925,10.7293,5.12016,103.884,94.9934,103.925,95,
5.11131,10.2498,10.7549,103.947,94.9924,103.992,95,
10.3055,5.09542,10.7798,104.012,94.988,104.054,95,
10.3583,10.7996,5.08283,104.073,94.9934,104.114,95,
10.8189,10.4145,5.07264,104.136,95.0048,104.173,95,
5.06499,10.8453,10.4753,104.204,95.0073,104.234,95,
10.8651,5.0548,10.5281,104.265,95.0146,104.295,95,
10.5698,5.04596,10.8955,104.313,94.9879,104.354,95,
10.9118,10.6234,5.03801,104.374,95.0051,104.411,95,
10.6734,5.03157,10.9426,104.43,94.9879,104.472,95,
10.7255,5.02512,10.9672,104.489,94.9866,104.533,95,
5.02032,10.7825,10.991,104.553,94.9931,104.592,95,
11.0111,10.8385,5.01388,104.617,95.0063,104.654,95,
10.8826,11.0376,5.01013,104.666,94.9938,104.711,95,
10.9334,5.00713,11.0653,104.723,94.9864,104.767,95,
5.00489,10.9877,11.089,104.784,94.9923,104.822,95,
