Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
4.63209,8.10129,9.63653,7.90043,9.27228,7.68803,13.3767,7.97658,11.8003,103.882,92.1322,103.928,92.0543,
8.37545,9.8972,8.17099,7.92591,9.52411,5.00369,12.0578,13.6257,8.0836,103.958,91.9663,104.14,91.8966,
8.3783,8.63597,8.15016,5.24487,9.7506,12.3119,13.8299,10.2081,8.21626,104.175,91.7958,104.36,91.7425,
10.3685,8.38115,8.3128,8.65666,9.98938,5.55425,8.9611,14.0751,12.6448,104.583,91.6461,104.627,91.5662,
8.4516,12.8304,8.90324,10.2319,5.8434,10.7041,8.71602,14.3037,9.26883,104.715,91.5509,104.87,91.4161,
10.8991,8.60929,9.15086,9.47104,8.94671,13.1814,6.16133,10.5185,14.5485,104.975,91.2531,105.129,91.2668,
9.3856,9.72632,11.1895,6.4271,10.736,13.4817,8.79696,9.25204,14.7792,105.216,91.1029,105.41,91.1157,
11.4398,8.92242,9.4622,13.7666,10.9949,10.0588,6.78295,15.0087,9.7446,105.435,91.0775,105.683,90.9798,
10.2716,7.01799,11.7207,11.2302,14.076,15.2092,9.1074,9.98084,9.79362,105.712,90.9679,105.961,90.8521,
9.93647,11.9452,15.3865,10.5569,14.3482,11.4761,10.1983,9.25519,7.38674,106.006,90.9037,106.201,90.7499,
7.54877,10.7808,15.5892,9.36747,11.6847,12.2236,10.4256,14.6567,10.2719,106.306,90.7693,106.493,90.6349,
11.8776,9.50267,15.8021,10.4557,14.9024,11.0874,12.4811,7.96444,10.7092,106.521,90.7276,106.798,90.5266,
11.3086,9.66231,15.1816,16.0372,8.21551,10.7414,12.7502,12.2066,10.9622,106.773,90.5347,107.1,90.4298,
8.47603,15.4703,11.6071,12.9789,16.275,9.85253,11.1844,12.4591,11.0532,107.059,90.4241,107.402,90.3435,
11.2059,11.3696,8.81345,13.2256,12.659,11.9147,16.5043,10.0209,15.8625,107.643,90.2592,107.697,90.2687,
12.8331,11.4537,16.658,10.1315,11.6295,13.4734,12.1662,9.15446,16.1237,107.92,90.3163,107.963,90.2096,
16.2691,9.33209,12.3443,16.8411,13.0684,11.7067,13.6896,11.8632,10.2922,107.97,90.1711,108.223,90.1591,
13.8285,12.5532,13.2444,12.0266,9.62304,16.5716,17.0372,11.9367,10.4214,108.255,90.131,108.5,90.1131,
10.5052,17.1729,12.1058,16.8017,13.4733,14.1172,12.8579,9.95161,12.3108,108.533,90.2374,108.838,90.0678,
12.4492,17.3737,14.3124,10.179,13.0756,10.702,17.1508,12.431,13.759,108.924,89.9818,109.175,90.0341,
10.4646,17.5885,12.6255,12.7398,14.5949,13.3692,17.4355,10.8691,13.988,109.255,89.9182,109.489,90.0131,
17.6214,14.7801,12.9434,14.1456,12.8743,13.6082,17.8071,10.8402,11.0184,109.494,90.031,109.791,90.0022,
14.9763,14.3146,11.1055,11.0426,17.949,13.8215,13.1846,17.9472,13.118,109.896,90.078,110.05,90.0001,
13.3157,15.1792,14.5074,14.0116,13.2877,11.3316,11.2629,18.1368,18.222,110.369,89.9794,110.42,90.0088,
18.4037,11.3884,18.2903,14.7553,14.2964,13.6206,13.5602,15.4865,11.6795,110.454,90.1184,110.696,90.0242,
18.4216,14.9139,18.6504,13.7899,11.8767,14.5104,15.6636,13.7738,11.5603,110.708,90.093,111.023,90.0525,
15.1101,18.898,18.6033,11.661,15.8604,14.0225,13.978,12.1921,14.7712,111.11,90.2058,111.294,90.084,
12.3428,14.1619,11.7679,14.9225,15.3126,16.0471,18.7675,14.1742,19.1947,111.551,90.0098,111.601,90.129,
14.3523,15.1122,16.2183,12.6475,18.9084,14.3698,19.4108,15.542,11.9505,111.624,90.105,111.963,90.1945,
19.6063,14.5575,12.0443,15.6955,12.9602,15.4021,16.4748,14.6485,19.1017,111.973,90.1022,112.258,90.2583,
14.7469,19.8515,12.172,16.6355,14.8057,13.2258,15.9073,15.6364,19.2467,112.305,90.162,112.587,90.3405,
14.9797,19.3414,13.477,16.8419,16.0797,20.1419,12.3296,15.8575,15.0469,112.653,90.4632,112.888,90.4261,
13.7005,20.3201,17.0162,16.2544,15.2116,19.5084,16.0617,15.2383,12.4786,112.884,90.3805,113.26,90.5464,
19.6255,14.0199,17.23,12.5788,15.4359,16.4657,15.4413,20.652,16.3197,113.467,90.6635,113.561,90.6555,
16.4388,15.5814,19.7617,17.4155,15.6207,20.8464,14.3263,16.6421,12.7238,113.594,90.7174,113.813,90.7555,
17.5484,16.7521,16.6355,12.807,21.0337,19.8867,14.5588,15.8187,15.8013,113.849,90.8731,114.118,90.8873,
12.9023,16.9044,19.9827,14.7667,15.9394,16.8465,15.9881,17.7678,21.28,114.356,90.9437,114.402,91.0209,
17.0529,17.8859,16.1321,21.4278,17.0195,15.019,13.0408,16.132,20.1242,114.452,90.9826,114.682,91.1638,
16.2317,21.5966,18.0414,20.1942,15.2468,13.1465,17.2195,16.3667,17.2811,114.618,91.116,115.059,91.374,
17.4028,16.5208,17.4051,21.882,18.2697,16.4902,15.5756,20.3477,13.3021,115.074,91.4168,115.328,91.5374,
17.5265,13.3656,17.5861,16.6262,16.7026,20.4273,18.4281,15.8093,22.1053,115.541,91.6272,115.588,91.7068,
18.5219,15.9572,17.7447,20.5027,17.6818,16.7864,22.257,13.4872,16.8879,115.623,91.7981,115.83,91.8752,
16.9784,16.1681,17.7967,17.9105,16.9194,18.6945,13.5822,20.6025,22.4539,116.074,91.8418,116.108,92.0819,
17.1361,20.656,13.6546,18.0728,17.0663,17.9436,16.4441,18.8396,22.6193,116.301,92.1659,116.34,92.267,
18.919,20.7262,22.7292,18.222,18.0565,17.3105,13.7576,16.6508,17.2255,116.316,92.4121,116.564,92.4557,
16.7777,19.0404,18.3504,20.7918,18.1661,17.4535,13.8456,22.9226,17.3581,116.606,92.5064,116.816,92.6826,
18.4933,19.1692,23.0386,20.8579,13.9209,17.4674,17.0459,17.6068,18.3092,116.805,92.7093,117.047,92.9053,
19.2795,20.9093,18.3813,13.9993,17.5873,23.2102,17.2504,17.736,18.6849,117.17,93.0812,117.257,93.1196,
23.3045,17.8173,17.6876,18.7772,17.4095,18.4915,19.4098,14.0901,20.9774,117.237,93.1147,117.506,93.3926,
