Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
100.587,101.424,100.586,101.422,0.00280884,1.546759056536,
101.166,102.834,101.165,102.83,0.00346641,3.07004641819,
101.742,104.229,101.741,104.227,0.00236785,4.579930593354,
102.308,105.602,102.306,105.599,0.00426028,6.063765146689,
102.868,106.967,102.868,106.964,0.00267095,7.540235369605,
103.401,108.222,103.401,108.224,0.00208218,9.018847311268,
103.187,106.771,103.189,106.775,0.00467321,10.48589049398,
102.975,105.316,102.976,105.318,0.0026184,11.955733188244,
102.764,103.862,102.763,103.865,0.00299626,13.424119753092,
102.547,102.389,102.548,102.393,0.00390309,14.911947460087,
102.333,100.921,102.333,100.925,0.00420542,16.397146219668,
102.114,99.4275,102.115,99.4305,0.00303974,17.907289503046,
101.899,97.9519,101.899,97.9557,0.00376441,19.397942902086,
101.683,96.472,101.682,96.4758,0.00387154,20.892093189307,
101.469,95.0148,101.469,95.0177,0.00294159,22.365523677721,
101.251,93.5341,101.253,93.5382,0.00439186,23.861284956641,
101.041,92.0923,101.042,92.0966,0.00444095,25.317819737532,
102.476,92.1569,102.473,92.1579,0.00307464,26.802120034401,
103.944,92.2644,103.941,92.2645,0.0027063,28.275569016922,
105.412,92.3723,105.41,92.3711,0.00239385,29.748361505334,
106.868,92.4768,106.865,92.4767,0.00304237,31.206981291231,
108.325,92.5833,108.321,92.5824,0.00454858,32.666021870425,
107.953,93.2535,107.956,93.2501,0.00450115,34.122509988143,
106.805,94.1671,106.808,94.1635,0.00519323,35.58873525605,
105.66,95.0793,105.662,95.0759,0.0040175,37.053649469626,
104.504,95.9958,104.508,95.9947,0.00462246,38.533015214639,
103.347,96.9176,103.35,96.9168,0.00295785,40.009088582714,
102.199,97.8347,102.201,97.8319,0.00323747,41.478402949297,
101,98.788,101.004,98.7848,0.00471999,43.009441817979,
99.8099,99.7353,99.8136,99.7323,0.00475931,44.531062614996,
98.6072,100.693,98.6109,100.69,0.00472448,46.068262864056,
97.4436,101.618,97.4459,101.617,0.00257011,47.55678384928,
96.2808,102.545,96.2819,102.544,0.0017654,49.044250661341,
95.7371,102.887,95.7339,102.89,0.0048479,50.510712989249,
96.7204,101.782,96.7184,101.785,0.00342663,51.992191730624,
97.7268,100.652,97.723,100.656,0.00547492,53.503198644656,
98.7274,99.5276,98.7249,99.531,0.00418534,55.010197608989,
99.7357,98.3968,99.7323,98.3996,0.00439306,56.525045495117,
100.74,97.2697,100.737,97.2713,0.00346395,58.03621878553,
101.755,96.1285,101.753,96.1299,0.00259281,59.563226986308,
Média,,,,0.00364306
101.164,99.0141,101.162,99.0166,0.00321152,1.532522088983,
102.332,98.0256,102.33,98.0283,0.00368394,3.061124500342,
103.461,97.071,103.459,97.0726,0.00305645,4.539987145023,
104.588,96.1178,104.584,96.1203,0.00462453,6.016052599335,
