Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
104.491,101.612,105,104.5,2.9322,1.492054417737,
101.618,94.0954,100,95.554,2.17812,2.991680652641,
103.799,106.068,105,104.123,2.28598,4.480602453979,
99.341,96.5989,100,95.8991,0.961268,5.980279804078,
107.255,104.391,105,103.636,2.37839,7.465029714589,
101.392,97.566,100,95.2911,2.66688,9.0004249556,
108.707,102.858,105,104.238,3.95517,10.484647211248,
100.427,99.1442,100,96.1841,2.99076,11.970619570332,
104.978,105.89,105,103.833,2.05666,13.470114802322,
99.2123,98.9244,100,96.4391,2.60711,14.961223712819,
103.551,101.593,105,103.224,2.18156,16.44950962744,
99.2765,95.124,100,96.8003,1.8258,17.948583538342,
102.169,104.164,105,102.657,3.20732,19.432849074145,
98.1273,100.182,100,97.6673,3.13578,20.920837882981,
106.82,102.015,105,101.705,1.84645,22.399250999436,
100.143,99.7643,100,98.472,1.30021,23.893380551157,
107.375,97.8149,105,100.729,3.75977,25.366640853635,
98.6187,99.9918,100,99.9435,1.38219,26.845906228911,
108.279,98.2839,105,99.8363,3.62775,28.33804401935,
101.286,98.1411,100,100.678,2.84472,29.820726008471,
105.068,99.0045,105,98.6026,0.407569,31.295846175404,
98.9527,104.335,100,102.522,2.09302,32.760615397528,
105.054,94.8825,105,97.0344,2.15257,34.246439631488,
102.147,102.547,100,103.464,2.33496,35.72766084146,
103.202,98.7674,105,96.9587,2.55042,37.242142297083,
99.685,102.263,100,103.595,1.36917,38.722540872697,
102.904,96.4278,105,96.0151,2.13659,40.209777253711,
99.1014,102.064,100,104.542,2.63589,41.691040027321,
106.365,96.3446,105,95.1211,1.83278,43.179476767387,
101.712,105.975,100.028,105,1.94577,44.67471116888,
103.337,93.6505,104.962,95,2.1124,46.174747774664,
99.3229,107.54,100.375,105,2.74968,47.664239196161,
105.327,97.1961,104.306,95,2.42147,49.154175985963,
98.4943,102.568,101.699,105,4.02278,50.619257365026,
99.4831,92.9065,102.591,95,3.7473,52.095917366946,
99.722,101.578,102.476,105,4.39267,53.593652800206,
103.999,95.0791,102.47,95,1.53108,55.091233177325,
106.28,107.465,103.29,105,3.8756,56.565963793075,
100.314,95.5017,101.442,95,1.23459,58.056992507821,
104.701,103.444,104.543,105,1.56373,59.524413727853,
Média,,,,2.43085
104.225,105.445,105,104.759,1.0349,1.501226877177,
100.541,96.7121,100,96.2254,0.727743,2.969943086219,
108.739,102.88,105,103.319,3.76458,4.454489021526,
97.8347,98.329,100,96.9489,2.56778,5.943970004632,
106.689,101.418,105,102.525,2.01951,7.426347110555,
98.1028,99.1967,100,98.3593,2.07384,8.897952677136,
102.313,103.279,105,100.71,3.71675,10.366273428457,
98.7439,97.2393,100,99.5966,2.67115,11.855631188019,
104.277,99.921,105,100.644,1.02281,13.364440664627,
100.84,102.381,100,100.017,2.50879,14.843897497665,
101.474,98.9742,105,99.4792,3.56195,16.324886381313,
99.5012,99.8298,100,100.176,0.606961,17.838262080981,
104.852,99.336,105,99.9048,0.587843,19.33911220495,
96.7519,100.976,100,100.361,3.30564,20.831318443333,
103.818,98.0003,105,98.5936,1.3228,22.29764207804,
99.1067,100.464,100,101.765,1.57768,23.783246534416,
101.61,100.389,105,98.1314,4.07254,25.282472539643,
97.6228,103.153,100,102.266,2.53712,26.766985476635,
109.239,98.1554,105,97.4731,4.29346,28.258830526614,
98.9084,102.211,100,103.299,1.54102,29.734159209745,
104.598,97.4956,105,96.061,1.48972,31.21126701946,
100.139,106.464,100,104.648,1.82114,32.687132876856,
101.574,95.7945,105,95.5115,3.43732,34.192810545451,
97.2349,105.664,100.111,105,2.95177,35.67361262751,
104.021,97.1265,104.273,95,2.14144,37.152500699191,
101.414,104.391,101.213,105,0.640865,38.63636779967,
101.846,96.7064,103.215,95,2.18776,40.116136226779,
102.229,105.218,102.861,105,0.669136,41.581154059431,
100.794,96.5143,101.87,95,1.85766,43.071367189417,
103.286,103.113,103.526,105,1.9026,44.559101301147,
102.276,91.531,101.148,95,3.6478,46.053026484236,
105.219,102.819,102.946,105,3.14968,47.577255448562,
105.839,95.5527,102.335,95,3.54726,49.087729234029,
103.178,106.709,103.181,105,1.70873,50.569699297724,
102.308,93.131,101.761,95,1.94749,52.068264366336,
100.351,104.158,103.328,105,3.09384,53.567271516648,
103.314,94.7383,101.897,95,1.44021,55.07383236786,
105.694,108.092,104.275,105,3.40206,56.533230049557,
99.5965,98.9039,100.636,95,4.04006,58.029826121589,
104.919,106.015,105,104.868,1.14952,59.504551423545,
Média,,,,2.29352
109.508,102.519,105,104.284,4.841,1.486206309451,
99.3236,98.0859,100,96.4696,1.75213,2.963814423496,
104.318,107.106,105,103.006,4.15705,4.442196476373,
98.8053,95.7213,100,97.0104,1.7576,5.94307425664,
103.999,105.88,105,102.838,3.20284,7.436996818778,
99.9577,94.4478,100,96.7297,2.28229,8.951515770265,
107.593,106.992,105,103.748,4.15211,10.467191074972,
99.5191,95.0032,100,96.1053,1.20249,11.973724423277,
102.28,105.917,105,103.61,3.56642,13.464306523454,
97.1538,97.7048,100,96.3759,3.14118,14.967016081995,
102.967,104.645,105,103.649,2.26358,16.466103307645,
101.629,92.8608,100,96.7206,4.18931,17.953352876388,
104.706,101.57,105,103.205,1.66021,19.448843033842,
97.6662,97.6267,100,96.3841,2.64397,20.963549566649,
104.72,103.797,105,103.445,0.449774,22.45844755226,
98.8375,98.2828,100,96.6547,2.00058,23.955212540057,
107.089,103.183,105,103.533,2.11812,25.459774993455,
100.141,94.5282,100,96.9609,2.43688,26.945740741165,
105.044,103.32,105,102.797,0.525294,28.435518394761,
100.743,95.8636,100,97.4961,1.79369,29.926404168257,
102.548,101.34,105,102.056,2.55466,31.414961631651,
100.71,99.9901,100,98.7963,1.38896,32.884561588441,
105.068,98.7341,105,100.412,1.67974,34.356214540245,
100.706,101.018,100,99.6792,1.51378,35.854396747995,
106.63,101.205,105,100.078,1.98226,37.347366487904,
96.3516,99.8008,100,99.5087,3.66009,38.859840314204,
102.914,96.3063,105,99.7758,4.04844,40.336008795634,
99.2718,99.6923,100,100.685,1.23083,41.820522962356,
109.091,97.8233,105,99.0589,4.27381,43.311872109141,
102.404,100.587,100,101.277,2.50128,44.801785392448,
104.929,98.9018,105,98.1315,0.773596,46.280697843295,
98.4457,102.433,100,101.837,1.66468,47.781800195905,
104.806,98.4115,105,97.9559,0.495007,49.275565459655,
102.372,101.731,100,102.476,2.48626,50.760899551232,
102.713,94.095,105,97.2925,3.93136,52.254609080964,
99.6884,103.592,100,102.621,1.02009,53.755671642785,
108.569,95.4176,105,97.0248,3.91404,55.244208074927,
97.6071,102.91,100,102.984,2.39406,56.742905995889,
102.99,99.2967,105,97.3976,2.76535,58.258132591218,
97.2875,104.703,100,102.953,3.2276,59.745911028806,
Média,,,,2.44106
101.189,102.674,104.731,105,4.23783,1.518160577883,
101.077,92.8688,100.239,95,2.28983,3.018297680003,
102.053,104.635,105,104.193,2.98033,4.481995093349,
98.4195,96.2708,100,96.3176,1.58117,5.96702327396,
105.671,104.408,105,103.374,1.23279,7.455878068625,
101.082,96.9761,100,95.9977,1.4587,8.975576013583,
109.316,103.54,105,103.413,4.31779,10.455857075541,
98.8424,96.1129,100,97.1974,1.58629,11.93572517198,
108.267,101.886,105,102.638,3.35294,13.430414834284,
101.825,95.9805,100,97.4227,2.3261,14.930552349593,
102.216,98.688,105,102.608,4.80759,16.429483296327,
100.303,100.464,100,97.0206,3.45622,17.943813814098,
101.863,101.164,105,102.254,3.32093,19.41871850794,
101.619,98.1233,100,98.203,1.62097,20.902187364774,
105.805,99.3704,105,101.053,1.86528,22.37755181693,
99.7552,99.6066,100,98.9699,0.682099,23.876461755027,
105.293,101.267,105,101.192,0.302624,25.383837088131,
100.706,97.7094,100,98.9321,1.41203,26.878738527124,
101.841,101.019,105,100.204,3.26278,28.349551253764,
101.044,101.123,100,99.4362,1.98368,29.862610210913,
103.886,98.9925,105,100.185,1.63191,31.348735328895,
100.333,101.614,100,100.401,1.25779,32.832053543661,
102.044,98.5912,105,99.2093,3.02009,34.319418458169,
101.23,102.546,100,101.01,1.96761,35.808176565098,
107.688,101.355,105,98.7493,3.74369,37.300556916164,
97.9122,103.518,100,101.629,2.81601,38.789790575626,
105.844,100.43,105,97.9349,2.63406,40.274324038427,
99.3784,99.7973,100,102.534,2.80655,41.759369931684,
105.17,99.1155,105,97.8205,1.30618,43.269836664886,
102.653,103.049,100,102.753,2.66908,44.751193659282,
102.863,100.018,105,97.0502,3.65748,46.244038784707,
98.1843,102.727,100,103.402,1.9371,47.728853068185,
103.482,97.0102,105,96.3835,1.64249,49.222146766218,
101.382,105.285,100,103.89,1.96331,50.714885774797,
104.525,97.3231,105,95.8542,1.54368,52.203633695981,
98.8864,102.829,100,104.668,2.14992,53.686360101837,
105.603,96.9672,104.784,95,2.13078,55.168439994081,
96.8941,105.824,100.504,105,3.70273,56.66149474037,
104.95,93.5594,104.26,95,1.59757,58.15215492033,
100.997,106.411,101.137,105,1.41792,59.63934090454,
Média,,,,2.34185
104.344,103.496,104.926,105,1.61292,1.516076184476,
99.8255,94.7402,100,95.2579,0.546308,3.001492717037,
107.663,106.148,105,104.547,3.10715,4.493962817783,
98.0789,97.5892,100,95.769,2.64649,5.985292117331,
106.917,106.792,105,103.85,3.51131,7.47194104703,
97.5198,96.2919,100,96.4191,2.48345,8.963005590374,
104.091,102.758,105,102.596,0.922932,10.430474327051,
97.0814,96.9772,100,97.8382,3.04297,11.914426672845,
104.032,101.632,105,101.675,0.968743,13.399563343016,
97.8907,97.6134,100,98.2571,2.20531,14.902417718845,
103.983,103.038,105,101.917,1.5137,16.407323755174,
97.3508,97.9285,100,98.7991,2.78855,17.884409466817,
102.37,102.176,105,101.008,2.87745,19.377374744192,
99.0617,101.098,100,99.3695,1.96715,20.864320235355,
106.325,98.9876,105,99.9943,1.66405,22.341856557234,
102.267,101.291,100,100.034,2.59271,23.841010295689,
106.387,99.7456,105,99.9239,1.39833,25.339548090655,
101.848,102.366,100,100.766,2.44497,26.818222099294,
106.976,97.2719,105,98.0685,2.13049,28.277842724989,
98.4845,101.548,100,102.279,1.68293,29.768584500988,
102.201,95.5369,105,97.5762,3.46311,31.262849520708,
98.8512,101.218,100,102.829,1.97905,32.749160281337,
105.812,95.8935,105,96.5546,1.04684,34.228977124989,
98.204,107.04,100,103.541,3.93307,35.723968090681,
104.914,95.1849,105,96.457,1.27496,37.224981181484,
98.5728,103.471,100,104.307,1.6537,38.69833021269,
103.322,94.2761,105,95.7543,2.23656,40.200722610544,
99.1648,102.383,100,104.257,2.0514,41.702001875883,
105.418,96.9051,105,96.0145,0.983977,43.209455414607,
99.3167,102.152,100,103.778,1.76434,44.718678566255,
105.914,95.5276,105,96.5316,1.35804,46.226772196629,
100.914,103.037,100,103.727,1.14514,47.719570341788,
105.646,93.2593,105,95.6595,2.48561,49.198795046986,
101.481,104.233,100,104.825,1.59461,50.682996878747,
103.246,95.2863,104.939,95,1.71718,52.174693720722,
100.591,103.46,100.713,105,1.54438,53.653655532297,
101.39,96.8798,104.174,95,3.35855,55.14972831216,
102.537,108.542,101.262,105,3.76419,56.63360624941,
