Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
106.841,102.801,106.877,102.779,0.0415993,0.59472191041,
105.819,96.4282,105.789,96.4223,0.0310718,1.182261587466,
100.067,99.2863,100.054,99.3433,0.0583032,1.771964636,
104.323,104.003,104.359,103.984,0.0413287,2.365278205754,
107.78,98.7196,107.766,98.6511,0.0700635,2.960750763903,
101.711,96.7303,101.672,96.7471,0.0425408,3.551057538625,
101.477,103.101,101.512,103.132,0.0473519,4.142618237546,
107.653,101.611,107.676,101.577,0.0409079,4.735407597701,
104.87,96.0848,104.846,96.0904,0.0248796,5.337471162797,
100.02,100.396,100.024,100.437,0.0410824,5.923082745235,
105.286,103.793,105.329,103.773,0.04785,6.521032532111,
107.331,97.7744,107.298,97.7372,0.0494646,7.114217006654,
100.982,97.4083,100.949,97.4129,0.0326506,7.706907823648,
102.349,103.654,102.385,103.659,0.0355,8.297032961931,
107.939,100.704,107.946,100.657,0.0472499,8.891930191566,
103.83,96.0003,103.782,96.006,0.0483423,9.491217650049,
100.247,101.404,100.268,101.44,0.041844,10.077513530613,
106.338,103.232,106.379,103.216,0.0434282,10.66997118828,
106.22,96.6807,106.183,96.6482,0.0490201,11.250426961167,
100.167,98.8778,100.155,98.8965,0.0218877,11.839081918614,
104.137,103.982,104.181,103.996,0.045809,12.423791286736,
107.855,98.951,107.842,98.8885,0.0638548,13.02132776107,
101.654,96.7351,101.628,96.7792,0.0510696,13.602174454419,
101.617,103.214,101.652,103.239,0.0431777,14.188959154109,
107.799,101.275,107.811,101.215,0.061797,14.77544419172,
104.425,96.0362,104.365,96.0166,0.0632777,15.374855434699,
100.068,100.711,100.072,100.758,0.0468223,15.965126984621,
105.572,103.706,105.607,103.663,0.0552859,16.564284582952,
107.138,97.5051,107.109,97.4827,0.0367993,17.156604633649,
100.945,97.445,100.913,97.4558,0.0337616,17.758039344141,
102.492,103.71,102.514,103.714,0.022478,18.344992293185,
107.943,100.683,107.948,100.644,0.0393901,18.944233475192,
103.79,95.9894,103.746,96.0081,0.0481731,19.543144684926,
100.261,101.402,100.272,101.45,0.0497522,20.130088573306,
106.18,103.339,106.218,103.329,0.0395057,20.729510404612,
106.689,97.0317,106.658,97.0106,0.0375221,21.323890272917,
100.416,98.1967,100.396,98.2638,0.0697894,21.915217150973,
103.093,103.893,103.136,103.906,0.0445623,22.512494730831,
107.988,99.7153,107.985,99.6505,0.0649353,23.100203549476,
102.699,96.2243,102.656,96.2326,0.0439677,23.694150424685,
