Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
9.99988,7.04917,7.10478,100.039,95.0087,100.106,95,
10.0008,6.96388,7.19082,100.161,95.0086,100.227,95,
10.0033,6.88129,7.27851,100.281,95.0098,100.348,95,
10.0072,6.7945,7.3686,100.407,95.0086,100.468,95,
6.72539,7.4452,10.014,100.51,95.0051,100.588,95,
10.0183,7.52314,6.63621,100.628,94.9952,100.693,95,
10.0258,7.60888,6.56306,100.741,94.9968,100.808,95,
6.51314,10.0353,7.70227,100.845,95.0167,100.917,95,
6.4325,10.0463,7.7943,100.969,95.0135,101.035,95,
10.057,6.352,7.88814,101.094,95.0142,101.16,95,
7.95409,6.2802,10.0733,101.191,94.9882,101.271,95,
10.0832,8.04928,6.20675,101.313,94.9986,101.38,95,
10.0996,8.14491,6.13585,101.435,94.9993,101.499,95,
10.115,8.2314,6.07335,101.544,95.0008,101.608,95,
8.31235,6.01459,10.1387,101.646,94.9842,101.728,95,
8.41098,10.1571,5.93979,101.773,94.9846,101.851,95,
5.89752,10.1768,8.52415,101.894,95.0155,101.963,95,
8.5892,10.1985,5.82302,101.993,94.9832,102.074,95,
8.67929,10.2195,5.76936,102.102,94.987,102.174,95,
10.2435,8.79486,5.7049,102.24,95.0019,102.327,95,
5.65229,10.2785,8.92602,102.386,95.0163,102.453,95,
10.3042,5.58828,9.03185,102.517,95.0226,102.584,95,
10.3335,5.53732,9.12583,102.631,95.0189,102.693,95,
10.364,9.21142,5.48156,102.74,95.0037,102.81,95,
10.3967,9.3144,5.43314,102.862,95.0048,102.931,95,
5.40166,9.40719,10.4374,102.966,94.9897,103.053,95,
10.462,5.35279,9.52111,103.1,95.0198,103.157,95,
10.4944,9.6052,5.30857,103.204,95.0088,103.275,95,
10.5314,5.2753,9.71657,103.329,95.021,103.39,95,
9.79692,5.23707,10.5801,103.428,94.9764,103.514,95,
9.88835,5.2068,10.6163,103.533,94.974,103.624,95,
9.99268,10.6503,5.17172,103.655,94.9872,103.736,95,
10.6821,5.14894,10.1101,103.785,95.0256,103.846,95,
10.1811,10.7276,5.11941,103.872,94.985,103.957,95,
10.285,5.09872,10.7754,103.989,94.9779,104.066,95,
10.8057,10.392,5.07609,104.111,95.0117,104.181,95,
10.8496,5.06005,10.5022,104.235,95.0235,104.292,95,
5.04641,10.5854,10.9023,104.329,94.9899,104.398,95,
10.9364,10.6854,5.02917,104.444,95.0129,104.515,95,
10.9887,5.01838,10.8078,104.581,95.0244,104.639,95,
10.8792,5.01043,11.0469,104.663,94.9696,104.757,95,
11.0869,11.0034,5.00339,104.802,95.0135,104.873,95,
11.0991,11.1464,5.00039,104.909,94.9854,104.996,95,
4.99979,11.195,11.2244,105.049,95.0164,105.106,95,
5.00144,11.3094,11.2515,105.144,94.9862,105.215,95,
5.00653,11.4251,11.3155,105.273,94.9758,105.377,95,
5.01643,11.557,11.381,105.42,94.9837,105.491,95,
11.4198,5.02797,11.6702,105.546,95.0324,105.601,95,
11.4743,5.04116,11.7742,105.661,95.0364,105.719,95,
5.05495,11.541,11.8794,105.778,95.0143,105.835,95,
11.9539,11.5963,5.07743,105.856,94.9865,105.94,95,
12.0503,11.6505,5.09737,105.961,94.9862,106.05,95,
12.1635,5.12075,11.7235,106.086,94.9645,106.178,95,
11.7676,5.14564,12.2931,106.232,95.0323,106.283,95,
12.3664,11.8321,5.17592,106.307,94.9862,106.394,95,
12.4694,5.20215,11.8995,106.421,94.9676,106.507,95,
5.23168,11.9559,12.6042,106.575,95.0175,106.629,95,
5.2684,12.7009,12.0367,106.678,94.9653,106.769,95,
5.31127,12.8224,12.1052,106.81,94.9777,106.878,95,
12.1566,12.9314,5.36419,106.922,95.0215,106.998,95,
12.2158,5.39761,13.0438,107.05,95.0412,107.105,95,
12.2796,13.1309,5.44603,107.138,95.025,107.218,95,
5.47976,13.2361,12.3645,107.258,94.9731,107.331,95,
13.3231,5.53057,12.4328,107.346,94.947,107.452,95,
12.4877,5.58693,13.4746,107.518,95.0447,107.571,95,
13.5536,12.567,5.64794,107.59,94.987,107.682,95,
12.6316,13.6774,5.70505,107.726,95.0252,107.804,95,
5.74552,12.7122,13.808,107.882,95.0235,107.938,95,
12.7914,5.82557,13.933,108.01,95.0413,108.062,95,
12.8669,14.0312,5.89557,108.106,95.0258,108.181,95,
14.1264,12.9483,5.95838,108.203,94.9869,108.299,95,
6.00949,14.2548,13.0369,108.354,94.9696,108.421,95,
14.3511,6.08459,13.1141,108.447,94.9507,108.543,95,
13.1753,6.15609,14.4951,108.611,95.0415,108.662,95,
14.5722,13.2549,6.23014,108.677,94.989,108.775,95,
13.3295,6.29609,14.7152,108.845,95.0412,108.897,95,
13.4078,6.36894,14.8291,108.967,95.0464,109.02,95,
6.43205,13.4938,14.9375,109.088,95.0167,109.137,95,
15.0289,13.5791,6.53203,109.16,94.9876,109.261,95,
13.6464,15.1476,6.60518,109.291,95.0315,109.375,95,
13.7246,6.67083,15.2708,109.435,95.0483,109.488,95,
6.73124,13.8081,15.3746,109.553,95.0179,109.597,95,
6.80739,13.8865,15.4789,109.663,95.0132,109.707,95,
6.88338,13.9652,15.5882,109.78,95.0158,109.824,95,
14.0343,6.97377,15.6928,109.882,95.0486,109.934,95,
14.1079,15.7826,7.04242,109.975,95.0309,110,95.0393,
15.7917,14.0892,7.0087,110.013,95.0745,110,95.1422,
15.7581,6.94094,14,110.007,95.2248,110,95.2606,
15.7247,13.932,6.85386,110.015,95.3022,110,95.3689,
