Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
6.03542,1.19737,7.69837,101.142,104.641,101.141,104.639,
7.69612,1.19647,6.03362,101.141,104.639,101.14,104.636,
7.69222,6.03227,1.19587,101.139,104.635,101.138,104.633,
7.68893,1.19527,6.03048,101.138,104.631,101.136,104.629,
7.68563,6.02928,1.19452,101.136,104.628,101.134,104.626,
6.02808,7.68173,1.19392,101.134,104.625,101.133,104.623,
7.67843,1.19347,6.02613,101.132,104.621,101.131,104.619,
1.19287,6.02478,7.67409,101.13,104.617,101.129,104.616,
1.19242,7.67154,6.02343,101.129,104.615,101.127,104.613,
1.19182,7.66794,6.02193,101.127,104.611,101.126,104.609,
7.66494,6.02058,1.19108,101.125,104.608,101.124,104.606,
6.01953,7.6615,1.19048,101.123,104.605,101.122,104.603,
7.65835,1.19018,6.01758,101.122,104.601,101.12,104.599,
1.18973,7.65445,6.01609,101.12,104.598,101.119,104.596,
1.18913,7.651,6.01459,101.118,104.594,101.117,104.592,
1.18853,7.64726,6.01309,101.116,104.591,101.115,104.589,
1.18823,6.01174,7.64306,101.114,104.587,101.113,104.585,
6.01024,1.18748,7.63901,101.112,104.583,101.111,104.581,
1.18718,6.00859,7.63556,101.11,104.579,101.109,104.578,
6.00724,7.63272,1.18658,101.109,104.576,101.108,104.574,
1.18628,7.62912,6.00529,101.107,104.573,101.106,104.571,
7.62597,6.00409,1.18568,101.105,104.57,101.104,104.567,
7.62237,6.00259,1.18538,101.103,104.566,101.102,104.564,
7.61878,6.0011,1.18508,101.102,104.563,101.1,104.56,
5.99975,1.18463,7.61458,101.099,104.559,101.099,104.557,
7.61188,5.9981,1.18418,101.098,104.556,101.097,104.553,
7.60858,1.18403,5.99645,101.097,104.552,101.095,104.55,
5.9954,1.18373,7.60409,101.094,104.548,101.093,104.547,
1.18343,7.60109,5.9936,101.093,104.545,101.092,104.543,
5.99255,7.59749,1.18298,101.091,104.542,101.09,104.539,
7.59449,5.9909,1.18268,101.089,104.538,101.088,104.536,
5.98925,7.5903,1.18238,101.087,104.534,101.086,104.532,
1.18223,5.9876,7.58655,101.085,104.531,101.084,104.529,
1.18208,7.58385,5.98626,101.084,104.528,101.083,104.526,
1.18193,7.5807,5.98491,101.082,104.525,101.081,104.523,
5.98386,7.5771,1.18163,101.08,104.521,101.079,104.519,
1.18133,5.98161,7.57156,101.077,104.516,101.076,104.513,
5.97966,1.18103,7.56691,101.075,104.511,101.074,104.509,
5.97816,7.56376,1.18103,101.074,104.508,101.073,104.506,
1.18073,7.56047,5.97621,101.072,104.504,101.071,104.502,
7.55747,1.18073,5.97486,101.071,104.501,101.069,104.499,
7.55402,5.97366,1.18058,101.069,104.498,101.068,104.496,
7.55072,5.97232,1.18043,101.067,104.495,101.066,104.492,
5.97097,7.54683,1.18043,101.065,104.491,101.064,104.489,
7.54383,5.96932,1.18043,101.064,104.488,101.062,104.485,
7.54023,5.96782,1.18028,101.062,104.484,101.061,104.482,
5.96647,7.53618,1.18013,101.06,104.48,101.059,104.478,
5.96497,1.18013,7.53229,101.058,104.477,101.057,104.475,
5.96347,7.52899,1.18013,101.056,104.473,101.055,104.471,
5.96227,1.18013,7.52539,101.054,104.47,101.054,104.468,
7.52299,1.18013,5.96032,101.053,104.467,101.052,104.464,
5.95927,1.18013,7.51864,101.051,104.463,101.05,104.461,
7.51595,1.18028,5.95718,101.05,104.46,101.048,104.457,
5.95583,1.18043,7.5104,101.047,104.455,101.046,104.453,
5.95418,1.18043,7.5068,101.045,104.451,101.044,104.449,
1.18043,5.95283,7.50336,101.043,104.447,101.043,104.446,
5.95148,7.50021,1.18073,101.042,104.444,101.041,104.442,
7.49721,1.18073,5.94953,101.041,104.441,101.039,104.439,
1.18088,7.49361,5.94818,101.039,104.437,101.037,104.435,
5.94728,7.49031,1.18103,101.037,104.434,101.036,104.432,
7.48747,5.94563,1.18118,101.036,104.431,101.034,104.429,
1.18133,5.94428,7.48327,101.033,104.427,101.033,104.426,
5.94309,1.18163,7.47997,101.031,104.424,101.031,104.422,
5.94159,7.47682,1.18178,101.03,104.421,101.029,104.419,
5.94039,7.47398,1.18193,101.029,104.418,101.028,104.415,
7.47068,1.18223,5.93844,101.027,104.414,101.026,104.412,
5.93739,1.18253,7.46633,101.025,104.41,101.024,104.408,
1.18253,7.46258,5.93514,101.023,104.406,101.022,104.403,
5.93394,1.18313,7.45809,101.021,104.402,101.02,104.4,
7.45569,1.18343,5.93214,101.02,104.399,101.018,104.397,
1.18358,5.93094,7.45179,101.018,104.395,101.017,104.394,
1.18388,7.44894,5.9296,101.016,104.392,101.015,104.39,
1.18433,7.44535,5.9281,101.015,104.389,101.013,104.387,
1.18463,7.44175,5.92645,101.013,104.385,101.012,104.383,
1.18508,5.9251,7.43725,101.01,104.381,101.009,104.378,
5.92345,7.4335,1.18568,101.008,104.377,101.008,104.375,
7.43066,1.18598,5.92165,101.007,104.373,101.006,104.371,
1.18628,7.42676,5.92015,101.005,104.37,101.004,104.368,
7.42391,5.91895,1.18688,101.004,104.367,101.003,104.364,
5.9179,7.42031,1.18718,101.002,104.363,101.001,104.361,
1.18748,7.41746,5.9164,101.001,104.36,101,104.358,
5.9152,1.18808,7.41372,100.999,104.356,100.998,104.355,
1.18838,7.41087,5.91371,100.997,104.353,100.996,104.352,
5.91251,1.18898,7.40682,100.995,104.35,100.995,104.348,
5.91101,7.40352,1.18958,100.994,104.346,100.993,104.344,
1.19003,7.40008,5.90906,100.992,104.342,100.991,104.34,
1.19048,7.39663,5.90771,100.99,104.339,100.989,104.337,
1.19093,5.90651,7.39303,100.989,104.335,100.988,104.334,
7.39033,1.19168,5.90486,100.987,104.332,100.986,104.33,
5.90381,7.38629,1.19227,100.985,104.328,100.984,104.326,
1.19272,7.38269,5.90186,100.984,104.325,100.983,104.323,
1.19332,7.37909,5.90037,100.982,104.321,100.981,104.319,
5.89932,7.37564,1.19422,100.98,104.317,100.979,104.315,
5.89782,1.19467,7.37115,100.977,104.313,100.977,104.311,
7.36815,5.89572,1.19572,100.977,104.309,100.975,104.307,
1.19632,7.36395,5.89407,100.974,104.305,100.973,104.303,
7.36125,1.19707,5.89272,100.973,104.302,100.972,104.3,
1.19752,7.35751,5.89122,100.971,104.299,100.97,104.297,
7.35436,5.89017,1.19842,100.97,104.295,100.969,104.293,
7.35121,5.88867,1.19917,100.968,104.292,100.967,104.29,
1.19962,7.34761,5.88732,100.966,104.288,100.965,104.287,
1.20037,5.88598,7.34417,100.965,104.285,100.964,104.283,
5.88493,7.34102,1.20142,100.963,104.282,100.962,104.28,
5.88343,7.33757,1.20202,100.961,104.278,100.96,104.276,
5.88193,7.33412,1.20292,100.96,104.275,100.959,104.273,
7.33157,1.20352,5.88028,100.959,104.272,100.957,104.269,
5.87938,1.20427,7.32738,100.956,104.268,100.956,104.266,
1.20487,7.32483,5.87773,100.955,104.265,100.954,104.263,
7.32168,5.87638,1.20592,100.954,104.262,100.952,104.259,
1.20666,5.87488,7.31718,100.951,104.257,100.951,104.255,
7.31479,1.20756,5.87338,100.95,104.254,100.949,104.252,
1.20831,7.31119,5.87203,100.949,104.251,100.947,104.249,
1.20921,5.87099,7.30729,100.946,104.247,100.946,104.245,
7.30519,1.21026,5.86934,100.946,104.244,100.944,104.242,
7.3019,1.21116,5.86814,100.944,104.241,100.943,104.239,
7.2986,5.86679,1.21221,100.943,104.237,100.941,104.235,
7.29485,1.21296,5.86514,100.941,104.234,100.939,104.232,
