Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
101.735,103.777,102.922,103.852,1.18956,1.477495927322,
106.921,103.723,105.657,103.641,1.2672,2.967407908733,
106.18,103.276,107.6,101.743,2.08891,4.458547506972,
105.154,99.1428,107.879,99.025,2.72781,5.948523366583,
109.006,99.5191,106.537,96.9076,3.59389,7.453547963015,
104.374,97.8972,104.128,96.0021,1.91096,8.954252847101,
103.233,99.1353,101.598,96.8017,2.84928,10.450505301017,
102.031,95.6703,100.155,98.8963,3.73177,11.953138462614,
98.7147,103.41,100.272,101.449,2.50404,13.454219598606,
100.8,105.7,102.108,103.524,2.53849,14.942236496871,
103.019,106.021,104.634,103.95,2.62683,16.442729127776,
108.705,103.379,107.068,102.566,1.82772,17.927180376308,
105.334,102.428,107.999,100.087,3.54708,19.423587315475,
109.229,94.4046,107.063,97.4278,3.71887,20.908234110243,
100.905,95.0281,104.582,96.0425,3.81424,22.388369140836,
103.847,99.5017,101.755,96.6893,3.50488,23.865316391394,
102.483,98.6633,100.1,99.1121,2.42539,25.341932123422,
99.1748,100.51,100.53,101.99,2.0067,26.818532326936,
101.398,103.088,102.351,103.644,1.10418,28.326262514283,
101.812,101.733,105.053,103.859,3.87605,29.818085901624,
106.89,103.265,107.228,102.363,0.963302,31.314644963137,
108.271,99.8115,107.995,99.7978,0.276863,32.808619319286,
106.311,96.6855,107.01,97.3659,0.975649,34.305126526029,
108.035,94.3656,104.695,96.0609,3.74552,35.800370014567,
105.529,94.2462,102.173,96.4416,4.01001,37.302838864184,
99.5823,97.7326,100.221,98.69,1.15062,38.77470727904,
98.3795,101.95,100.303,101.526,1.96915,40.257224020326,
101.767,102.353,102.141,103.542,1.24587,41.747708457468,
104.428,103.082,105.109,103.843,1.02169,43.218604341353,
103.569,101.275,107.427,102.063,3.93712,44.693870982243,
107.176,102.505,107.91,99.1545,3.42961,46.168361182169,
108.941,97.1327,106.341,96.7567,2.62713,47.649375524138,
103.781,96.5198,103.713,96.0103,0.513989,49.139227394345,
99.6271,96.1684,101.308,97.0417,1.89393,50.636074425822,
99.64,97.8773,100.037,99.4559,1.62778,52.127319119901,
101.251,105.688,100.556,102.034,3.71897,53.622323966974,
103.845,101.584,102.675,103.774,2.4828,55.112820780543,
102.977,102.728,105.354,103.764,2.59305,56.60478895492,
107.566,100.673,107.377,102.143,1.48231,58.104612224772,
107.884,96.4559,107.951,99.373,2.91783,59.58700256551,
Média,,,,2.38593
98.534,101.933,102.139,103.54,3.94651,1.50274902866,
103.46,107.317,105.114,103.842,3.84835,2.972824260851,
110.91,101.602,107.243,102.342,3.74099,4.473311378248,
109.82,100.357,107.993,99.7618,1.92152,5.964409870339,
107.557,99.7975,106.814,97.1569,2.74307,7.446908779268,
101.577,96.8561,104.072,96.0007,2.63778,8.922719548873,
104.673,92.8791,101.583,96.8131,5.00259,10.415971427761,
97.9505,101.858,100.028,99.5316,3.119,11.878058077111,
101.6,101.84,100.903,102.531,0.982025,13.338833850881,
102.96,101.005,103.32,103.942,2.95862,14.822298261114,
101.948,105.533,106.196,103.343,4.77896,16.29732966903,
105.896,100.587,107.903,100.877,2.02722,17.769395611126,
110.419,96.3289,107.469,98.0092,3.39449,19.246509625813,
108.536,98.7012,105.644,96.3536,3.7249,20.754282429463,
105.155,100.443,102.846,96.1701,4.85679,22.243245604305,
99.6478,99.0022,100.486,98.0889,1.2396,23.707865640189,
100.039,101.812,100.142,101.057,0.762364,25.178835147853,
102.719,102.989,102.067,103.502,0.829957,26.64023838766,
104.85,100.66,104.825,103.914,3.25398,28.125462138888,
107.411,103.514,107.325,102.224,1.29312,29.594825216451,
109.577,102.263,107.93,99.2547,3.4294,31.065259005853,
107.853,96.2817,106.604,96.9638,1.42341,32.558565940806,
105.069,92.7726,104.255,96.0082,3.33632,34.064370406694,
100.889,98.683,101.533,96.8517,1.94121,35.543766052927,
97.756,99.5727,100.026,99.5432,2.2704,37.00970210183,
102.836,102.424,100.651,102.188,2.19717,38.501195783777,
103.609,105.173,102.723,103.791,1.64175,39.997264972475,
105.516,102.648,105.418,103.74,1.09627,41.491193373366,
108.076,104.281,107.459,102.009,2.35434,42.983796793461,
109.445,102.375,107.99,99.72,3.02736,44.501860242207,
109.203,95.602,106.777,97.1213,2.86194,45.979498793608,
105.774,95.3644,104.739,96.0688,1.25222,47.500787685673,
102.195,94.4933,102.25,96.4032,1.9107,49.005671928517,
98.1749,99.3583,100.232,98.6578,2.17301,50.474976538036,
101.016,101.991,100.287,101.488,0.885556,51.956680930111,
102.939,105.773,102.1,103.52,2.40376,53.450121807493,
109.788,102.54,104.878,103.902,5.09532,54.931001731312,
103.283,102.419,107.355,102.178,4.07898,56.399511523179,
110.358,99.5662,107.963,99.4558,2.39754,57.885066018368,
110.224,97.3408,106.67,97.0212,3.56828,59.374408758382,
Média,,,,2.66017
101.851,100.841,100.271,101.447,1.69201,1.502410008472,
103.797,105.468,102.118,103.53,2.56432,2.987486030942,
106.19,101.792,104.714,103.936,2.60328,4.48456638788,
108.571,102.796,106.894,102.762,1.67776,5.991190067272,
110.969,95.996,107.982,100.382,5.30635,7.488972983234,
110.904,99.5414,107.233,97.6449,4.13193,8.97473219865,
104.871,98.5897,105.18,96.1781,2.43128,10.47726819536,
101.12,96.1223,102.32,96.37,1.22501,11.956832318621,
100.94,99.4062,100.341,98.3829,1.18537,13.439052577494,
101.242,100.587,100.208,101.273,1.24079,14.918808611897,
104.085,102.747,102.314,103.627,1.97808,16.377132384049,
103.589,100.69,104.862,103.906,3.4588,17.879693273116,
109.467,102.02,107.215,102.38,2.28061,19.362520749089,
107.429,96.8921,107.996,99.8218,2.98403,20.858120347276,
107.353,99.0628,106.919,97.2647,1.84991,22.34234777309,
105.592,96.0868,104.298,96.0111,1.29593,23.819746967411,
103.276,95.937,101.526,96.8569,1.97723,25.298950523891,
100.655,98.3136,100.114,99.0502,0.913553,26.796207391342,
98.5779,104.146,100.39,101.723,3.02544,28.2894480497,
101.197,102.566,102.135,103.539,1.35127,29.794921183002,
106.901,105.448,105.16,103.828,2.3781,31.261336582768,
111.638,105.551,107.287,102.28,5.44401,32.759607546809,
110.194,101.909,107.978,99.5844,3.21131,34.245862253715,
104.425,97.7684,106.798,97.1412,2.45422,35.735516787893,
107.517,97.9663,104.33,96.0137,3.73764,37.226996607857,
101.068,95.8563,101.31,97.0398,1.20808,38.682559386411,
98.8667,98.7779,100.018,99.6176,1.4253,40.164364204462,
101.309,99.2911,101.097,102.752,3.46694,41.609238878715,
104.133,104.436,103.407,103.956,0.870074,43.10963534235,
107.28,105.864,106.015,103.456,2.72083,44.60473147158,
107.787,99.0987,107.756,101.375,2.27681,46.094286443207,
107.052,98.4919,107.699,98.4768,0.646974,47.572548651935,
104.735,95.8286,105.777,96.4162,1.19562,49.057603161964,
106.256,96.0245,102.933,96.1449,3.32542,50.535946486495,
102.16,94.9428,100.729,97.6975,3.10408,52.032952230703,
