Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
5.03486,5.19435,6.01369,100.408,95.0006,100.41,95,
5.1951,6.01399,5.03441,100.411,94.9996,100.414,95,
5.03397,5.1963,6.01429,100.415,94.9998,100.418,95,
5.1972,5.03352,6.01444,100.419,95.0001,100.421,95,
6.01459,5.19825,5.03292,100.423,95.0004,100.425,95,
5.1993,5.03262,6.01504,100.426,94.9997,100.429,95,
5.03217,6.01534,5.20065,100.431,95.0002,100.433,95,
5.2014,6.01549,5.03172,100.434,95.0001,100.437,95,
6.01579,5.20275,5.03112,100.439,95.0003,100.441,95,
6.01609,5.20365,5.03082,100.442,95.0001,100.445,95,
6.01638,5.20485,5.03052,100.446,95.0007,100.449,95,
5.03007,6.01683,5.20605,100.45,95,100.454,95,
5.2071,6.01698,5.02932,100.455,94.9999,100.457,95,
5.20814,6.01728,5.02902,100.458,95.0001,100.461,95,
5.20919,5.02872,6.01773,100.462,94.9994,100.465,95,
5.02827,6.01803,5.21069,100.467,95.0003,100.469,95,
5.02782,5.21174,6.01833,100.471,95.0001,100.473,95,
5.21264,5.02737,6.01863,100.474,94.9995,100.477,95,
5.02707,6.01893,5.21399,100.479,95.0005,100.481,95,
5.21489,5.02662,6.01923,100.482,94.9999,100.484,95,
5.02632,6.01953,5.21609,100.486,95.0005,100.488,95,
6.01983,5.02572,5.21729,100.491,95.0003,100.493,95,
5.02542,5.21834,6.02013,100.494,95.0005,100.497,95,
6.02043,5.02497,5.21969,100.499,95.0011,100.501,95,
6.02088,5.02452,5.22074,100.503,95,100.505,95,
6.02118,5.02422,5.22179,100.506,95.0001,100.508,95,
5.22268,6.02148,5.02377,100.51,94.9996,100.512,95,
5.02347,6.02193,5.22433,100.515,95.0004,100.517,95,
5.02302,6.02223,5.22553,100.519,95.0006,100.521,95,
5.22628,6.02253,5.02242,100.522,94.9993,100.525,95,
5.02227,5.22808,6.02313,100.527,95,100.532,95,
5.22958,5.02152,6.02358,100.533,94.9993,100.536,95,
5.23078,6.02388,5.02122,100.537,94.9999,100.54,95,
6.02418,5.02092,5.23243,100.542,95.0016,100.545,95,
6.02463,5.23363,5.02032,100.547,95.0005,100.549,95,
6.02508,5.23483,5.02002,100.551,95.0002,100.553,95,
6.02538,5.23603,5.01958,100.555,95.0004,100.557,95,
6.02583,5.01928,5.23737,100.559,95.0005,100.562,95,
5.23827,5.01883,6.02628,100.563,94.999,100.566,95,
5.23962,5.01853,6.02673,100.567,94.9991,100.57,95,
5.01823,5.24097,6.02703,100.571,95.0001,100.574,95,
5.01778,6.02733,5.24247,100.576,95.0011,100.578,95,
5.01748,5.24337,6.02793,100.579,94.999,100.582,95,
5.01718,6.02823,5.24487,100.584,95.0004,100.586,95,
5.24577,6.02853,5.01673,100.588,94.9998,100.59,95,
6.02898,5.01643,5.24727,100.592,95.0003,100.594,95,
5.24817,6.02943,5.01613,100.595,94.9992,100.598,95,
5.24952,5.01583,6.02973,100.6,95.0002,100.603,95,
5.25086,5.01553,6.03033,100.604,94.9994,100.607,95,
5.01523,5.25206,6.03063,100.608,95,100.611,95,
5.25326,6.03092,5.01493,100.612,95.0005,100.615,95,
6.03137,5.01463,5.25476,100.617,95.001,100.618,95,
5.01433,6.03182,5.25581,100.62,95.0003,100.622,95,
5.25656,6.03212,5.01403,100.623,94.9997,100.626,95,
6.03257,5.25791,5.01373,100.627,94.9998,100.629,95,
5.01358,5.25911,6.03302,100.631,94.9999,100.633,95,
5.26016,5.01328,6.03332,100.634,95.0001,100.637,95,
5.26136,6.03362,5.01283,100.638,95.0003,100.641,95,
5.26241,6.03407,5.01253,100.642,94.9996,100.644,95,
6.03437,5.01238,5.26406,100.647,95.0017,100.648,95,
5.26496,5.01208,6.03512,100.65,94.9988,100.652,95,
5.01178,6.03542,5.26675,100.655,95.001,100.658,95,
5.26765,5.01148,6.03602,100.658,94.999,100.662,95,
6.03632,5.01118,5.26915,100.663,95.0004,100.665,95,
5.01088,5.2702,6.03677,100.667,94.9997,100.668,95,
5.01088,6.03722,5.27155,100.67,95.0005,100.672,95,
5.01058,6.03752,5.27275,100.674,95.0011,100.676,95,
5.01028,6.03812,5.27425,100.679,95.0007,100.681,95,
5.00998,5.2753,6.03857,100.682,95,100.686,95,
5.27665,6.03902,5.00953,100.687,94.9997,100.69,95,
6.03947,5.00938,5.27815,100.691,95.0006,100.694,95,
5.00908,6.03992,5.27964,100.696,95.0011,100.698,95,
6.04037,5.28069,5.00893,100.699,95.0008,100.701,95,
5.28159,6.04082,5.00863,100.702,94.9997,100.705,95,
5.00848,6.04112,5.28294,100.706,95.001,100.708,95,
5.28384,5.00833,6.04172,100.709,94.9994,100.712,95,
5.00818,6.04202,5.28534,100.713,95.0012,100.715,95,
5.28624,5.00788,6.04262,100.716,94.9992,100.72,95,
5.28774,6.04307,5.00758,100.721,94.9997,100.724,95,
5.00728,6.04352,5.28924,100.726,95.0002,100.728,95,
5.00728,6.04397,5.29059,100.729,95.001,100.731,95,
