Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
101.483,94.9993,101.479,95,0.00401413,1.48912305601,
102.977,94.9999,102.973,95,0.00338626,2.982515479057,
104.454,95.0005,104.451,95,0.00282088,4.460922360546,
104.999,95.9134,105,95.9107,0.00287309,5.920807243043,
105,97.3979,105,97.3956,0.00227143,7.405327615406,
104.999,98.8983,105,98.8943,0.00407497,8.90460779986,
105.001,100.388,105,100.384,0.00330109,10.39349145554,
104.999,101.874,105,101.872,0.00295267,11.88034731381,
105,103.356,105,103.352,0.00391447,13.364039622326,
104.999,104.817,105,104.815,0.00235176,14.824260961211,
103.708,104.999,103.712,105,0.00428444,16.297028058533,
102.208,105,102.211,105,0.00216942,17.79808889061,
100.717,105,100.72,105,0.00350219,19.289582806167,
99.9996,104.256,100,104.261,0.00471255,20.749282386615,
100,102.76,100,102.763,0.00280329,22.245544201126,
100.001,101.241,100,101.245,0.00424922,23.766044945633,
99.9998,99.7104,100,99.7129,0.00255695,25.297634142792,
99.9994,98.1871,100,98.1892,0.00225192,26.821091977397,
99.9988,96.6678,100,96.6717,0.00406532,28.338732687554,
100.002,95.1661,100,95.1697,0.00391004,29.839421339351,
101.309,95.0004,101.305,95,0.00405015,31.314578739534,
102.808,95.0003,102.804,95,0.0044729,32.81398855934,
104.28,94.9995,104.277,95,0.00299189,34.287339753181,
105,95.7738,105,95.7701,0.00368193,35.780589926118,
105,97.2483,105,97.2458,0.00251356,37.256398037335,
105,98.729,105,98.7258,0.00324654,38.734609232645,
104.999,100.2,105,100.195,0.00460608,40.20631514438,
104.999,101.675,105,101.672,0.00334071,41.681601601503,
105,103.168,105,103.165,0.00322972,43.173903042602,
105,104.626,105,104.621,0.00510248,44.63153980541,
103.902,104.998,103.906,105,0.00473522,46.104574881738,
102.423,105,102.427,105,0.00489076,47.583466136733,
100.938,105.001,100.942,105,0.00418051,49.068540211249,
100,104.454,100,104.459,0.00487187,50.551380782804,
99.9998,102.965,100,102.969,0.00409297,52.040034669804,
99.9995,101.429,100,101.433,0.00394177,53.577261203759,
99.9995,99.9032,100,99.9064,0.00316702,55.105347496914,
100,98.3492,100,98.3531,0.00393274,56.657862581718,
99.9991,96.8143,100,96.8182,0.0040029,58.190932484684,
99.9989,95.3069,100,95.3107,0.00393178,59.698709995714,
Média,,,,0.00363624
