Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
99.1658,98.263,99.2591,100.735,2.47375,1.051100244542,
102.404,100.688,98.5097,101.478,3.9735,2.10560156571,
99.0276,104.063,97.7747,102.207,2.23938,3.140633768526,
98.3471,106.501,97.0355,102.941,3.79468,4.183603131389,
97.1446,104.435,96.3133,103.657,1.13839,5.200529144245,
100.301,100.04,96.2814,102.752,4.84854,6.218603771074,
93.5435,102.204,96.2986,101.728,2.79589,7.24454924288,
95.1271,103.741,96.3161,100.682,3.28188,8.290214405669,
94.1657,100.045,96.3336,99.6425,2.20499,9.330018930772,
99.6152,97.6182,96.3508,98.6171,3.41384,10.355767711291,
96.3508,95.9277,96.3681,97.582,1.6544,11.392984813602,
98.7234,96.9732,96.3853,96.5557,2.37505,12.417389578469,
93.2611,96.7607,96.4028,95.5122,3.38076,13.459994457504,
91.9879,95.8571,96.4198,94.4972,4.63585,14.47657561242,
97.6564,95.237,96.437,93.4708,2.14632,15.501846969853,
99.3516,90.7761,96.454,92.4584,3.35054,16.51549164634,
100.578,91.9566,96.4713,91.4276,4.14095,17.544922997121,
96.2646,92.92,96.3813,91.1141,1.80965,18.542563373271,
89.9322,97.7726,96.0855,92.0951,8.37239,19.567364652978,
92.3193,95.9589,95.7896,93.0769,4.51094,20.594499174214,
92.1035,97.2287,95.4976,94.0452,4.65349,21.604235421865,
94.3284,95.999,95.2036,95.0203,1.31298,22.622483037749,
95.4676,98.1395,94.8588,95.963,2.26003,23.627904977043,
93.6513,98.3119,94.4397,96.9101,1.60827,24.663623803342,
97.1454,92.8795,95.4241,96.684,4.17576,25.681829681107,
96.5201,94.9632,96.4223,96.4506,1.49062,26.706862506068,
97.2069,95.3379,97.4245,96.2162,0.904797,27.735755533032,
98.0825,95.293,98.4229,95.9827,0.769109,28.761663760661,
100.368,98.4847,99.4197,95.7496,2.89473,29.786744233526,
100.129,95.018,100.417,95.5165,0.575697,30.809317030855,
101.538,96.8369,101.407,95.2848,1.55757,31.826502606137,
99.1693,96.223,102.408,95.0508,3.44393,32.853657706496,
104.139,96.5678,103.417,94.8148,1.89595,33.89037864989,
104.417,90.4282,104.406,94.5836,4.15545,34.905604186527,
103.904,97.9305,105.39,94.3534,3.87341,35.917919886197,
104.149,95.6858,106.387,94.1202,2.73109,36.942086767566,
106.82,94.36,107.151,93.886,0.578159,38.007049955889,
104.561,93.8137,106.15,93.7172,1.59248,39.023814901986,
103.561,95.9592,105.142,93.5473,2.88396,40.044582724983,
104.992,90.5595,104.139,93.3782,2.94483,41.062104515495,
102.301,94.0453,103.135,93.2089,1.181,42.080637557323,
101.929,89.3548,102.128,93.0391,3.68964,43.103544672798,
103.002,94.2576,101.096,92.8651,2.36026,44.150238559286,
97.9986,92.9215,100.101,92.6974,2.11395,45.157191727375,
101.074,91.7043,99.091,92.5272,2.14678,46.180968716512,
99.2771,93.215,98.0985,92.3598,1.45614,47.187345766218,
97.5889,89.5511,97.1031,92.192,2.68524,48.197247010145,
98.7804,91.0623,96.0922,92.0216,2.85424,49.222553826172,
93.5003,93.2722,95.9679,92.2968,2.6534,50.24602091436,
94.6529,89.3432,96.686,92.9867,4.17239,51.241817787323,
97.1963,88.4606,97.4283,93.6999,5.24441,52.271017966579,
96.3095,91.3029,98.1558,94.3988,3.60467,53.279721016698,
99.1166,97.9764,98.8958,95.1097,2.87516,54.306722950265,
99.3247,95.9125,99.644,95.8285,0.330214,55.345604670113,
96.2954,97.871,100.389,96.5443,4.30335,56.376985084823,
103.041,98.7745,101.143,97.2687,2.42233,57.422709355519,
100.9,99.2616,101.89,97.9864,1.61435,58.458797476768,
105.92,94.8448,102.646,98.7125,5.06753,59.506770586735,
Média,,,,2.82102
98.7135,102.498,101.059,100.097,3.35644,1.070096805049,
104.264,98.4152,102.11,100.193,2.79259,2.125429198713,
106.671,100.342,103.142,100.288,3.5292,3.162261115054,
105.746,98.9345,104.171,100.382,2.13922,4.194849519927,
105.627,99.0746,105.206,100.477,1.46397,5.234223304514,
106.19,100.735,106.223,100.57,0.168657,6.255205924989,
104.052,99.396,106.199,99.7238,2.17177,7.273781012704,
105.824,96.5694,106.003,98.7117,2.1498,8.303057145197,
105.116,100.532,105.81,97.7118,2.90493,9.323573390112,
104.291,101.476,105.617,96.7077,4.94955,10.344462435609,
106.391,95.323,105.421,95.6932,1.03818,11.377556603435,
100.298,94.1924,105.227,94.6877,4.95362,12.401744562069,
100.826,95.1585,105.033,93.6839,4.45836,13.423885581853,
106.046,96.42,104.703,93.4038,3.30135,14.454884276943,
100.511,95.1567,104.166,94.2656,3.76173,15.466532751081,
100.173,94.2752,103.629,95.1258,3.55972,16.481162393739,
99.5842,100.653,103.085,95.9978,5.82462,17.507730251988,
102.703,98.576,102.541,96.8712,1.71256,18.537432175123,
105.118,95.2794,101.997,97.7421,3.97523,19.564533659352,
100.25,98.3584,101.45,98.6192,1.22786,20.597545829669,
98.7239,98.7169,100.905,99.4938,2.31491,21.629401212554,
101.538,99.3075,100.342,100.396,1.61742,22.695722960593,
101.285,100.789,99.7847,101.289,1.58118,23.744554697063,
98.4377,103.72,99.2386,102.165,1.74923,24.776450604644,
99.4685,103.4,98.6867,103.049,0.856734,25.818679403665,
98.984,104.545,98.143,103.921,1.04718,26.846556690894,
97.2112,107.358,97.599,104.793,2.59425,27.875051661354,
95.6366,104.16,97.0566,105.663,2.0674,28.899256370359,
93.7172,108.047,96.5111,106.537,3.17539,29.929987315706,
98.6287,105.81,96.0121,106.818,2.80389,30.958696651736,
93.6205,106.213,95.6102,105.879,2.01766,31.980273118987,
96.1669,99.508,95.2092,104.942,5.51741,32.999196081627,
98.7166,104.004,94.8013,103.988,3.91537,34.036527491823,
90.3229,102.791,94.3975,103.045,4.08255,35.062353352676,
98.6887,100.784,93.9925,102.098,4.87661,36.091998579536,
96.8093,96.6004,93.5876,101.152,5.57676,37.120646795758,
94.1955,98.18,93.1887,100.22,2.27524,38.134671122214,
92.4407,104.773,92.7879,99.2839,5.50016,39.152963303622,
96.7255,98.3362,92.3859,98.3445,4.3396,40.176839685737,
94.0787,97.421,91.992,97.424,2.0867,41.176541109482,
88.3935,95.508,91.5936,96.4931,3.34824,42.188756633611,
88.8603,91.3292,91.1924,95.5556,4.82703,43.208813929811,
95.5556,91.4135,90.7978,94.6336,5.74505,44.211683781212,
92.7923,90.6563,90.3997,93.7033,3.87417,45.223269201178,
92.2627,90.2672,90.2663,93.7977,4.05595,46.241416726776,
90.0593,96.6286,90.3688,94.7917,1.86272,47.241173939992,
92.6603,95.2525,90.4729,95.8011,2.25514,48.256405536992,
93.8849,99.3885,90.5754,96.795,4.20465,49.253892178577,
88.0786,95.5726,90.6804,97.8132,3.43365,50.277221923894,
93.3348,96.7807,90.7849,98.8254,3.26851,51.295034363346,
87.3104,101.652,90.8894,99.8394,4.01174,52.314255251115,
92.7835,101.957,90.9944,100.857,2.10044,53.337031969662,
93.6152,102.763,91.1,101.881,2.66557,54.367645948857,
94.6189,99.094,91.2045,102.894,5.10839,55.385457553107,
91.6825,103.356,91.3095,103.911,0.668935,56.409175084473,
89.2953,105.736,91.4137,104.922,2.26928,57.42402992131,
84.5679,109.5,91.519,105.943,7.80821,58.450406571179,
93.7474,105.377,91.6241,106.962,2.64989,59.4756499188,
Média,,,,3.16539
98.2547,98.6232,98.9449,99.8716,1.42651,1.069677326381,
99.942,99.4505,97.8923,99.7434,2.07047,2.129469913843,
100.245,99.6708,96.8601,99.6178,3.3849,3.169206168553,
99.2717,98.5877,95.8401,99.4936,3.54911,4.197174771491,
101.058,97.6314,94.8163,99.369,6.47879,5.22949234994,
96.6953,98.7342,93.7933,99.2445,2.94653,6.259579533472,
92.3898,98.7587,93.0463,99.1396,0.758947,7.290239280921,
90.709,102.265,94.067,99.1612,4.57277,8.311070064045,
92.8866,98.1371,95.0808,99.1827,2.43056,9.325364220875,
95.5055,99.201,96.0898,99.2041,0.584307,10.335567819892,
95.1122,97.9682,97.1275,99.226,2.37564,11.372560241251,
99.9518,98.5932,98.1598,99.2479,1.90783,12.404647878583,
98.384,98.255,99.1996,99.2699,1.30204,13.445143922758,
96.9829,99.6649,100.227,99.2917,3.26583,14.472811644651,
103.41,100.526,101.278,99.3139,2.45176,15.524100346163,
101.779,98.6307,101.422,99.3862,0.835493,16.568400967202,
101.083,99.0636,100.407,99.5216,0.816408,17.592440631939,
96.36,100.134,99.3728,99.6594,3.04987,18.635876993513,
99.5258,94.9783,98.3337,99.798,4.96487,19.685460977576,
96.3936,97.8914,97.5016,100.234,2.59137,20.736817206563,
95.2132,104.338,97.0305,101.17,3.65229,21.784158138961,
93.5707,100.8,97.1458,101.757,3.701,22.828519819962,
98.5499,101.159,98.1918,101.799,0.733487,23.874492154939,
97.4393,104.927,99.2194,101.84,3.56307,24.905204573214,
97.7278,105.854,100.254,101.882,4.7076,25.93852477356,
98.2703,102.892,101.285,101.923,3.16682,26.972072833659,
103.873,99.228,102.329,101.965,3.1424,28.014884932972,
99.0652,102.106,103.357,102.006,4.29293,29.045133663093,
101.691,100.208,104.38,102.047,3.25792,30.06781426783,
104.035,105.088,104.233,101.893,3.20211,31.094167501546,
103.234,98.8546,103.228,101.592,2.73719,32.142384775338,
100.492,101.092,102.236,101.295,1.75547,33.179357093202,
99.083,101.51,101.246,100.999,2.22244,34.214288322202,
100.882,102.219,100.228,100.695,1.658,35.273368271758,
97.0486,100.581,99.213,100.391,2.17266,36.334884764826,
97.3136,98.5197,98.1889,100.085,1.79372,37.402445976334,
99.6724,100.562,97.1975,99.7889,2.59282,38.436382232462,
97.6797,98.3527,96.2173,99.4958,1.85619,39.45919800112,
95.5724,101.705,96.6527,99.5158,2.44122,40.493486889509,
99.4359,99.2054,97.6905,99.6682,1.80564,41.543083277905,
97.6881,102.532,98.7238,99.82,2.90263,42.587123655407,
99.164,99.1825,99.765,99.9729,0.992973,43.639667606903,
101.938,101.139,100.409,100.501,1.65623,44.682919529314,
97.6839,101.729,100.534,101.538,2.85643,45.725903758159,
99.4871,102.111,100.66,102.587,1.26564,46.784296350356,
98.8837,107.223,100.785,103.627,4.06802,47.830148354228,
102.664,103.743,100.908,104.649,1.97647,48.859541250156,
102.229,103.479,101.16,104.235,1.30857,49.879206096476,
102.043,104.281,101.463,103.264,1.17034,50.895858099861,
107.513,97.9057,101.767,102.293,7.22932,51.913745903488,
102.296,102.016,102.076,101.301,0.747405,52.952477885496,
101.804,98.7012,102.386,100.311,1.71176,53.989773826619,
98.9743,98.8826,102.692,99.3298,3.7447,55.019294169085,
102.545,102.279,103.002,98.3378,3.96787,56.057187317734,
102.997,101.978,103.311,97.3494,4.63875,57.092756233555,
102.012,95.4932,103.618,96.3666,1.82798,58.123674782929,
102.913,97.284,103.918,95.4045,2.13149,59.130318212927,
Média,,,,2.63887
96.4372,100.167,99.0913,99.4448,2.75052,1.071320958499,
100.432,101.256,98.211,98.907,3.23303,2.103096219343,
100.42,100.57,97.3189,98.362,3.80705,3.149176247196,
94.9795,96.083,96.4349,97.8219,2.26756,4.184148489974,
95.9314,100.303,95.5551,97.2845,3.04176,5.214945421949,
92.3273,99.007,94.6929,96.7577,3.26426,6.229966979053,
94.4358,92.6512,93.8316,96.2315,3.63092,7.234861141956,
96.0555,95.144,92.9652,95.7022,3.14033,8.249897431576,
89.8387,95.9097,92.1049,95.1766,2.38181,9.258335658803,
