Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
104.906,105.001,104.987,105,0.0810214,1.509555944226,
100.022,95.2832,100,95.4036,0.122321,2.995680378156,
104.994,104.327,105,104.231,0.0965992,4.483606261463,
99.9743,95.7705,100,95.8714,0.10408,5.979746345077,
105.011,103.759,105,103.674,0.0857005,7.46534443967,
100.051,96.328,100,96.4505,0.132515,8.963198099256,
105.002,103.183,105,103.078,0.105555,10.444983802111,
99.9954,97.0492,100,97.1174,0.0683062,11.939189270421,
105.011,102.167,105,102.086,0.0822694,13.411857978755,
99.9985,97.7214,100,97.8099,0.0885433,14.915227724021,
105.014,101.837,105,101.742,0.0963091,16.401858007761,
100.021,98.0675,100,98.1898,0.124073,17.903923510597,
104.996,101.354,105,101.272,0.0822495,19.384532336872,
99.99,99.2646,100,99.324,0.0602666,20.864638550778,
104.992,100.562,105,100.441,0.121994,22.357915177697,
100.009,99.5185,100,99.5899,0.0719996,23.857253495819,
105.03,100.029,105,99.9496,0.0852238,25.341846503429,
100.003,99.5679,100,99.6553,0.087381,26.854953438203,
104.999,100.539,105,100.464,0.0757326,28.359023018036,
100.006,99.7385,100,99.9048,0.166374,29.850191932187,
105.024,100.267,105,100.154,0.11536,31.347668553608,
100.009,100.046,100,100.14,0.0937798,32.837211230233,
104.989,99.5961,105,99.5025,0.0942693,34.325603871634,
99.986,100.069,100,100.198,0.13014,35.83648614415,
105.007,99.5616,105,99.4714,0.0903874,37.324907377325,
99.9859,100.388,100,100.523,0.135955,38.826789517728,
104.975,99.0113,105,98.9108,0.103517,40.306698142086,
99.9985,101.446,100,101.563,0.116273,41.792231683235,
104.997,98.2479,105,98.1622,0.0858031,43.281980764207,
100.011,102.572,100,102.638,0.0674021,44.756285712606,
104.996,97.5606,105,97.4223,0.138364,46.257179090898,
100.042,103.354,100,103.465,0.11815,47.728336197177,
105.002,96.443,105,96.3247,0.118243,49.219577300719,
100.002,104.153,100,104.249,0.0953768,50.701634466474,
104.998,95.8773,105,95.8137,0.0635981,52.203780027611,
99.971,104.689,100,104.786,0.101283,53.682486109508,
105.033,95.1555,105,95.0433,0.116971,55.177919528917,
100.207,105.009,100.284,105,0.077159,56.66611463032,
104.662,95.0346,104.502,95,0.162817,58.161327551142,
100.688,104.979,100.778,105,0.0928006,59.650690088695,
Média,,,,0.101404
105.01,104.432,105,104.336,0.0958989,1.487622762514,
100.042,95.1723,100,95.2775,0.113361,2.99952391349,
104.993,104.582,105,104.491,0.091632,4.491941874732,
99.9494,95.3951,100,95.5062,0.122151,5.993298480253,
105.016,103.776,105,103.668,0.109348,7.466891513582,
100.003,95.6858,100,95.8405,0.154666,8.982433709445,
105.05,103.869,105,103.757,0.122592,10.468507689874,
100.024,96.3945,100,96.485,0.0937698,11.960053620403,
105.012,103.525,105,103.449,0.076839,13.458123938507,
100.002,96.6207,100,96.7423,0.121624,14.951256859181,
104.994,102.855,105,102.774,0.0809185,16.434766880911,
100.024,97.3962,100,97.5035,0.110012,17.925404357336,
105.02,101.813,105,101.716,0.0997226,19.399361546054,
99.9943,98.7437,100,98.8257,0.0821421,20.881110883555,
105.016,100.429,105,100.339,0.091966,22.353295594421,
99.9795,100.254,100,100.361,0.108752,23.83026413877,
105.016,98.9101,105,98.7799,0.131247,25.303232796064,
100.002,101.888,100,102.018,0.129894,26.776038052916,
105.023,98.4643,105,98.3328,0.133422,28.289103848917,
99.9628,102.104,100,102.221,0.122957,29.771802522099,
104.997,97.0813,105,97.0226,0.0588373,31.242718849966,
99.9619,103.712,100,103.8,0.0962063,32.717980439627,
104.984,96.074,105,95.9989,0.0767161,34.208536952182,
100.046,104.83,100,104.939,0.11793,35.678814288327,
104.987,95.2615,105,95.1803,0.0822654,37.181627961743,
100.279,105,100.361,105,0.0815153,38.665597770209,
104.961,95.039,104.964,95,0.0392082,40.175142480402,
100.015,104.946,100.111,105,0.109698,41.671905028198,
