Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
107.064,97.0146,104.571,96.0409,2.67683,0.599985223935,
104.153,105.476,106.832,102.825,3.76955,1.190339133635,
101.064,97.3218,100.039,100.556,3.39329,1.781376408908,
105.181,91.498,105.964,96.5154,5.0781,2.374378489478,
107.918,100.651,105.633,103.652,3.77203,2.962771606486,
100.089,100.757,100.104,99.0945,1.66217,3.555108986586,
105.136,93.5406,107.105,97.4786,4.40281,4.149584236857,
103.47,103.181,104.242,103.993,1.12023,4.734672087215,
98.6296,103.724,100.753,97.6634,6.422,5.335621742862,
111.64,104.666,107.787,98.7127,7.09136,5.920032964316,
100.825,105.35,102.865,103.836,2.54052,6.503223819958,
103.007,92.7214,101.672,96.747,4.24109,7.097986198163,
109.771,101.921,107.998,100.136,2.51632,7.691549670536,
104.032,104.161,101.472,103.1,2.77134,8.284187934209,
105.316,93.9541,103.262,96.0688,2.94831,8.890144113241,
103.744,101.6,107.622,101.698,3.87856,9.475499102435,
104.301,104.13,100.495,101.927,4.39793,10.061632610875,
105.3,103.051,104.498,96.0311,7.06535,10.648097430232,
110.832,107.603,106.858,102.798,6.2347,11.240203696046,
101.544,98.9289,100.027,100.46,2.15607,11.840516993266,
108.22,101.347,106.089,96.5886,5.21442,12.436595252094,
103.249,102.036,105.418,103.74,2.75838,13.031500063098,
102.76,95.9684,100.204,98.7377,3.76844,13.632725364871,
107.675,97.6098,107.382,97.8646,0.388204,14.234756909773,
101.959,102.992,103.678,103.987,1.98636,14.825136784351,
101.509,97.104,101.082,97.2639,0.456055,15.423098411978,
106.464,97.6308,107.942,99.3196,2.24388,16.014762108417,
102.815,104.642,102.117,103.529,1.31451,16.609976695177,
103.639,95.1054,102.388,96.3393,1.75724,17.206411720305,
107.12,105.478,107.904,100.871,4.67349,17.794219016096,
100.923,99.0324,100.933,102.568,3.53547,18.387516677606,
104.607,92.5105,104.001,96,3.54179,18.992317430925,
103.93,101.618,107.28,102.29,3.41662,19.574451824853,
97.9891,99.4239,100.196,101.235,2.85489,20.164777275879,
104.894,93.9947,105.508,96.2952,2.38093,20.770979477839,
107.693,101.014,106.08,103.417,2.89426,21.359760787213,
98.1498,102.927,100.023,99.5724,3.84223,21.953470120304,
108.915,95.7811,106.906,97.2512,2.48913,22.560673526795,
108.021,103.072,104.352,103.984,3.78022,23.157845724181,
103.22,94.9772,100.655,97.8066,3.81932,23.754831543856,
110.598,107.607,107.749,98.6041,9.44363,24.342843408805,
101.671,104.506,102.863,103.835,1.36828,24.93373848777,
101.096,97.7987,101.678,96.7431,1.20547,25.529548883619,
111.723,103.761,108,100.009,5.28637,26.114012441207,
101.252,101.349,101.539,103.153,1.8267,26.710610646219,
104.15,97.9988,103.061,96.1117,2.17871,27.307134375925,
107.663,101.592,107.674,101.582,0.0146142,27.89743326465,
101.859,101.572,100.516,101.965,1.39891,28.489854893345,
