Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m),Erro,Tempo de Simulacão,
103.269,98.1583,100.134,101.025,4.24833,1.055001175382,
103.383,100.469,100,99.9866,3.41688,2.105693976188,
103.039,97.9491,100.141,98.9472,3.06497,3.157234333836,
103.583,99.4722,100.548,97.9791,3.38193,4.212067023814,
101.649,97.9605,101.176,97.1674,0.923565,5.240655388689,
104.498,91.9175,101.995,96.5385,5.25507,6.276168997757,
102.761,97.1639,102.934,96.1446,1.03385,7.297770427701,
105.166,93.1434,103.945,96.0004,3.10716,8.323681634613,
104.265,95.8127,104.954,96.1155,0.752321,9.339977574438,
104.406,95.3693,105.891,96.4752,1.85148,10.345970813951,
106.947,101.853,106.728,97.0747,4.78282,11.376742550658,
102.276,102.611,107.387,97.8714,6.97044,12.414522564055,
109.49,98.5388,107.816,98.801,1.69476,13.440637809772,
113.108,98.3694,107.995,99.795,5.30832,14.453328150552,
107.587,103.093,107.918,100.807,2.30964,15.470702085441,
111.593,101.266,107.585,101.774,4.03999,16.49782806833,
107.152,102.21,107.007,102.637,0.451193,17.538021052095,
105.552,103.778,106.254,103.304,0.846827,18.546372435599,
105.751,103.437,105.352,103.764,0.515878,19.563899946601,
102.446,104.083,104.352,103.984,1.90872,20.58889038887,
99.3047,105.903,103.334,103.944,4.48005,21.610695364917,
103.913,102.492,102.338,103.638,1.94815,22.655328809097,
98.3708,102.884,101.465,103.095,3.10183,23.686572941563,
103.69,103.295,100.747,102.328,3.09797,24.740493720849,
101.827,103.459,100.257,101.411,2.58058,25.782601763898,
102.181,102.701,100.019,100.39,3.16449,26.833473820705,
98.5979,99.5194,100.054,99.3422,1.4673,27.886978176022,
99.2881,97.0065,100.357,98.3483,1.71547,28.92749445731,
100.872,95.0511,100.905,97.4665,2.41565,29.968282745598,
104.41,93.4812,101.653,96.7611,4.28489,30.998979414875,
102.791,93.681,102.558,96.2691,2.59873,32.031893334429,
101.141,94.6592,103.552,96.0252,2.77099,33.060836267949,
101.135,95.3403,104.566,96.0403,3.50173,34.077492148001,
102.665,97.0201,105.541,96.3089,2.96271,35.090217165289,
107.545,95.9305,106.425,96.8189,1.42974,36.113267416968,
104.072,101.91,107.15,97.5343,5.34943,37.134049991396,
106.007,101.1,107.677,98.4261,3.15333,38.174394286866,
111.112,99.7424,107.958,99.4191,3.17097,39.208585185294,
110.509,96.5182,107.977,100.426,4.65641,40.218042847488,
110.653,100.785,107.735,101.433,2.98935,41.256317677485,
106.419,101.098,107.262,102.315,1.48073,42.259658088864,
106.486,103.048,106.582,103.055,0.0966979,43.267310169131,
102.877,102.334,105.736,103.604,3.12815,44.2785138039,
103.621,107.385,104.787,103.922,3.65441,45.282307656073,
100.723,104.684,103.758,103.993,3.11273,46.315801088582,
100.304,103.358,102.764,103.804,2.50021,47.332070029336,
99.297,104.503,101.831,103.361,2.77994,48.366330338968,
103.291,103.159,101.034,102.683,2.30655,49.417474807899,
99.8066,99.5622,100.437,101.818,2.34172,50.47260811038,
100.14,98.6281,100.089,100.841,2.21311,51.510499586399,
100.057,100.502,100.005,99.7985,0.704974,52.559175565136,
97.7141,97.2363,100.193,98.773,2.91649,53.6058281027,
103.455,95.1504,100.636,97.8364,3.89392,54.643156588313,
102.135,95.4882,101.299,97.0498,1.77138,55.675577446068,
103.504,95.2567,102.136,96.4611,1.82301,56.700813914423,
101.489,96.6828,103.105,96.1015,1.71681,57.739835366122,
105.853,97.2843,104.125,96.002,2.15209,58.765290243895,
108.107,92.6532,105.135,96.1645,4.6001,59.792747215445,
Média,,,,2.75684
99.6391,98.0911,100.038,100.547,2.48842,1.066656615539,
97.5416,99.3084,100.031,99.5035,2.49699,2.112536638946,
98.7846,98.9656,100.296,98.4888,1.58523,3.164408422658,
104.302,96.2421,100.815,97.5798,3.73446,4.214092673849,
97.0528,97.8331,101.55,96.8379,4.60621,5.26179809475,
102.693,95.1159,102.441,96.3162,1.22648,6.29865136865,
104.114,95.8943,103.425,96.0416,0.704456,7.322298064466,
101.773,94.0585,104.439,96.0242,3.31248,8.338865671282,
104.103,94.3802,105.424,96.2621,2.29938,9.355690644432,
107.285,92.6885,106.317,96.7392,4.16481,10.36999748549,
108.864,98.2236,107.07,97.436,1.95949,11.398097302312,
111.671,94.8268,107.614,98.2846,5.33085,12.408513017019,
108.543,103.101,107.93,99.2563,3.8933,13.434679679435,
106.535,102.448,107.991,100.271,2.61959,14.452157560842,
106.38,99.0614,107.796,101.26,2.61571,15.464866941008,
106.034,98.6272,107.36,102.171,3.78337,16.47580374069,
108.446,105.012,106.706,102.946,2.70163,17.492556053881,
101.614,108.528,105.879,103.531,6.56944,18.508651089425,
105.139,103.784,104.937,103.889,0.227548,19.518709392377,
102.394,105.197,103.93,103.999,1.94829,20.534590735604,
100.509,104.206,102.939,103.857,2.45503,21.538319326598,
102.712,103.117,102.002,103.465,0.791277,22.556655602234,
103.384,104.714,101.185,102.842,2.88858,23.587524100895,
101.236,100.86,100.545,102.016,1.34611,24.635040790593,
96.6787,101.303,100.144,101.063,3.47344,25.671596713554,
101.241,101.613,100,100.029,2.01239,26.720725214588,
97.0791,98.0193,100.128,98.9944,3.20151,27.766173192353,
102.273,95.6726,100.52,98.027,2.93481,28.812648828202,
102.222,97.1004,101.149,97.1948,1.07795,29.859713242359,
99.9955,96.3108,101.971,96.5531,1.98986,30.902350663706,
104.585,98.0383,102.908,96.1519,2.5239,31.926248319404,
106.724,95.8154,103.919,96.0008,2.81065,32.950330917113,
105.913,94.2036,104.944,96.113,2.14112,33.983712388813,
111.632,95.9494,105.89,96.4746,5.76588,35.001106371262,
106.726,95.3016,106.722,97.0688,1.76714,36.024337281988,
109.639,93.4804,107.38,97.8602,4.9285,37.057592820497,
106.503,101.706,107.812,98.788,3.19794,38.082932986773,
108.486,99.0446,107.994,99.7901,0.892677,39.106144064711,
110.752,100.849,107.917,100.812,2.83587,40.131722490668,
109.541,105.583,107.592,101.759,4.29184,41.137199564526,
105.374,104.952,107.031,102.61,2.86938,42.157548972927,
108.375,102.938,106.275,103.29,2.12943,43.177008788565,
103.341,105.609,105.382,103.754,2.75772,44.18685864845,
104.764,103.887,104.386,103.981,0.389233,45.21031683138,
101.851,104.696,103.368,103.95,1.69057,46.233197935035,
101.019,100.478,102.388,103.661,3.46443,47.257263115557,
102.183,102.617,101.504,103.125,0.848321,48.293079442736,
101.502,103.895,100.787,102.382,1.6731,49.329063808522,
98.9742,100.418,100.286,101.485,1.69125,50.358722899556,
99.5138,98.0739,100.028,100.474,2.45442,51.40790314774,
102.142,97.5024,100.043,99.4159,2.8406,52.466919998969,
97.6986,98.1983,100.33,98.409,2.63983,53.516896846037,
103.035,96.6887,100.863,97.5178,2.32472,54.560056960316,
102.447,95.8504,101.617,96.7874,1.25195,55.611730130977,
99.2104,95.1188,102.517,96.2852,3.50594,56.643675870353,
101.881,99.4002,103.492,96.0324,3.73324,57.656006623502,
102.942,97.1033,104.519,96.0338,1.90521,58.685806351307,
107.414,91.8432,105.504,96.2933,4.84296,59.705119629013,
Média,,,,2.66564
98.7556,95.8047,100.655,97.8072,2.75976,1.050220955744,
102.106,96.3062,101.343,97.01,1.03791,2.109646009058,
100.738,94.555,102.196,96.4301,2.37519,3.141214863517,
105.567,95.3689,103.15,96.0915,2.52276,4.155844405193,
102.309,94.2346,104.168,96.0035,2.56655,5.18344346619,
107.86,92.2276,105.178,96.1775,4.77431,6.209156099437,
107.014,91.6515,106.104,96.5979,5.02951,7.228278454168,
106.286,96.8585,106.886,97.23,0.705232,8.236109080718,
106.77,97.7802,107.498,98.0591,0.779602,9.269484899421,
113.735,97.0174,107.873,98.9987,6.18795,10.284868244082,
105.745,102.467,108,100.02,3.3275,11.316542941006,
105.862,100.893,107.868,101.017,2.00982,12.324419737691,
108.856,102.848,107.49,101.954,1.63238,13.337817276657,
110.408,105.742,106.894,102.761,4.60849,14.343869879253,
103.927,105.984,106.117,103.394,3.3915,15.348676985492,
103.992,103.931,105.208,103.813,1.22152,16.355111648239,
102.549,104.223,104.227,103.994,1.69414,17.352288912827,
103.437,103.964,103.217,103.923,0.224554,18.368853764646,
105.656,103.137,102.245,103.594,3.44105,19.396154792201,
99.2063,103.364,101.385,103.027,2.20502,20.429987247313,
103.251,99.1258,100.681,102.233,4.03218,21.493084617278,
101.035,98.7369,100.217,101.3,2.69026,22.538440593999,
100.302,98.8921,100.009,100.268,1.40665,23.594020766474,
98.3591,101.032,100.077,99.2173,2.49904,24.65187742048,
103.859,95.8208,100.408,98.2395,4.21411,25.685505106002,
99.4723,96.1628,100.973,97.3853,1.93554,26.712469350522,
102.632,101.706,101.742,96.6983,5.08638,27.746165559253,
99.5868,97.0943,102.656,96.2324,3.1884,28.775511502858,
104.87,95.4855,103.649,96.0154,1.33074,29.794422082385,
104.295,97.4149,104.672,96.0569,1.40927,30.820782311516,
103.974,96.6674,105.647,96.355,1.70218,31.843819811602,
110.219,95.6715,106.504,96.8805,3.90681,32.851433867513,
109.97,97.3653,107.211,97.6146,2.77028,33.873193679482,
106.519,97.5624,107.711,98.5069,1.52068,34.899357690958,
112.827,96.3971,107.967,99.4875,5.75963,35.915344387923,
109.611,103.734,107.969,100.494,3.63209,36.924273914459,
109.231,98.1679,107.718,101.475,3.63713,37.940167642329,
108.585,103.481,107.222,102.37,1.75815,38.96580551912,
106.176,103.904,106.523,103.104,0.872143,39.98236188546,
105.077,101.389,105.669,103.635,2.32304,40.989741329271,
107.348,101.309,104.718,103.935,3.7167,41.990527919562,
107.278,102.111,103.699,103.989,4.04214,43.013929439198,
100.861,105.698,102.7,103.783,2.6548,44.035837991175,
103.482,101.485,101.789,103.334,2.50639,45.054242127424,
97.5475,106.87,101.008,102.655,5.45343,46.092390750665,
96.5396,101.593,100.418,101.781,3.8833,47.149510812356,
98.1577,98.9047,100.079,100.791,2.6928,48.198491389978,
97.4067,100.179,100.008,99.7465,2.63711,49.248539820604,
100.349,97.9006,100.211,98.7189,0.829903,50.298936597083,
101.44,98.5521,100.663,97.794,1.08536,51.332020096018,
99.0594,93.0705,101.337,97.0155,4.55515,52.364404030544,
102.842,96.8915,102.185,96.4356,0.799744,53.393993454892,
102.814,96.1696,103.14,96.0936,0.334856,54.411531058484,
101.501,97.5638,104.152,96.0029,3.07653,55.430786913107,
106.277,93.3536,105.157,96.1709,3.0321,56.451583555919,
102.802,101.783,106.09,96.5897,6.14658,57.479114008633,
106.775,97.6041,106.877,97.2206,0.396681,58.488572999481,
113.637,94.5448,107.487,98.0409,7.07349,59.515908950479,
Média,,,,2.81184
105.083,101.334,107.995,100.196,3.12719,1.03083136933,
110.037,99.1413,107.82,101.187,3.01691,2.040545065686,
104.744,102.326,107.398,102.111,2.66218,3.058574568169,
107.572,104.075,106.763,102.892,1.43273,4.067662405807,
106.173,104.894,105.956,103.489,1.42167,5.073977379203,
107.499,104.227,105.018,103.868,2.50674,6.088635425712,
103.589,105.382,104.025,104,1.4491,7.093016263949,
101.011,104.429,103.014,103.877,2.0785,8.114317355637,
102.856,103.505,102.059,103.498,0.796322,9.144553787367,
100.43,104.882,101.231,102.887,2.15049,10.178594238762,
99.6496,99.8867,100.578,102.071,2.37371,11.223822893017,
103.1,101.509,100.16,101.121,2.96537,12.265358792878,
102.327,99.6622,100.001,100.074,2.36265,13.326947740691,
100.567,97.3975,100.12,99.0287,1.69156,14.382660382695,
100.347,95.3701,100.507,98.0514,2.686,15.436808956781,
97.8789,99.0817,101.117,97.227,3.73177,16.465308448953,
101.479,99.28,101.933,96.5755,2.74237,17.512526526669,
103.071,95.2671,102.872,96.1623,0.917122,18.542304427662,
102.922,96.048,103.877,96.0019,0.955917,19.56205875959,
105.336,94.1259,104.887,96.0996,2.02412,20.579275189138,
107.132,94.1669,105.849,96.4529,2.62169,21.606713365052,
107.452,94.4818,106.681,97.0316,2.66377,22.62389590907,
108.397,100.505,107.347,97.8094,2.89255,23.649503316798,
108.262,94.7318,107.789,98.7175,4.01374,24.662322130203,
108.337,97.5247,107.991,99.7265,2.2289,25.694304837728,
106.829,100.238,107.93,100.747,1.2128,26.719287894474,
