Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
101.969,98.0222,101.98,98.0199,
101.984,98.0077,101.995,98.0051,
102.001,97.9952,102.009,97.9911,
102.017,97.9867,102.024,97.9764,
102.029,97.9659,102.038,97.9621,
102.046,97.9581,102.052,97.9477,
102.056,97.9397,102.067,97.9328,
102.075,97.9338,102.081,97.919,
102.085,97.9114,102.096,97.904,
102.1,97.8918,102.11,97.8896,
102.114,97.8778,102.125,97.8754,
102.13,97.8653,102.138,97.8615,
102.142,97.8536,102.153,97.8467,
102.16,97.8476,102.166,97.8336,
102.173,97.8313,102.18,97.8203,
102.181,97.8143,102.192,97.8078,
102.196,97.8079,102.205,97.7947,
102.21,97.786,102.218,97.7821,
102.221,97.77,102.232,97.7684,
102.234,97.7609,102.245,97.7547,
102.247,97.7497,102.258,97.7417,
102.266,97.7428,102.272,97.7276,
102.276,97.716,102.286,97.7141,
102.298,97.7064,102.306,97.694,
102.308,97.6827,102.319,97.6811,
102.326,97.6837,102.332,97.6682,
102.336,97.66,102.343,97.6565,
102.351,97.6527,102.357,97.6429,
102.366,97.6382,102.372,97.6284,
102.38,97.6246,102.386,97.6136,
102.393,97.5996,102.405,97.5952,
102.407,97.5877,102.419,97.581,
102.425,97.5828,102.432,97.5678,
102.44,97.5649,102.446,97.5537,
102.45,97.5556,102.46,97.5405,
102.46,97.5357,102.471,97.5289,
102.477,97.5268,102.483,97.5171,
102.486,97.5053,102.497,97.5034,
102.503,97.5004,102.509,97.4908,
102.513,97.4771,102.524,97.4759,
102.527,97.4672,102.539,97.4609,
102.548,97.4574,102.553,97.447,
102.561,97.4436,102.566,97.4338,
102.571,97.4234,102.58,97.4204,
102.588,97.4223,102.595,97.4054,
102.596,97.3984,102.609,97.3915,
102.617,97.3876,102.623,97.3774,
102.632,97.3728,102.637,97.3626,
102.64,97.3559,102.651,97.3486,
102.654,97.3314,102.669,97.3311,
102.671,97.3243,102.683,97.317,
102.685,97.3063,102.696,97.3043,
102.698,97.2913,102.71,97.2903,
102.713,97.2917,102.722,97.2783,
102.723,97.2726,102.734,97.2664,
102.737,97.2527,102.748,97.2518,
102.751,97.2406,102.761,97.2385,
102.768,97.2422,102.774,97.2261,
102.784,97.2222,102.789,97.2112,
102.797,97.2121,102.803,97.1966,
102.812,97.1931,102.817,97.183,
102.818,97.1768,102.831,97.1693,
102.838,97.1676,102.843,97.1569,
102.846,97.1583,102.856,97.1439,
102.859,97.1364,102.871,97.1295,
102.878,97.1307,102.885,97.1153,
102.887,97.108,102.9,97.1004,
102.902,97.1025,102.912,97.0876,
102.921,97.0738,102.93,97.0703,
102.931,97.0637,102.943,97.0569,
102.953,97.0547,102.961,97.0394,
102.969,97.0404,102.975,97.025,
102.975,97.0195,102.988,97.012,
102.996,97.0107,103.001,96.9993,
103.008,97.0014,103.014,96.9863,
103.023,96.9823,103.028,96.9719,
103.031,96.9743,103.041,96.9587,
103.042,96.9455,103.054,96.9457,
103.057,96.9316,103.068,96.9317,
103.081,96.9259,103.088,96.9119,
103.099,96.9055,103.106,96.8941,
103.115,96.8905,103.12,96.8802,
103.124,96.8806,103.133,96.8666,
103.139,96.8546,103.147,96.8529,
103.15,96.8453,103.162,96.8383,
103.169,96.8251,103.177,96.8232,
103.181,96.8238,103.19,96.8099,
103.199,96.8051,103.205,96.7954,
103.214,96.7914,103.219,96.7809,
103.223,96.7819,103.232,96.7679,
103.238,96.7572,103.245,96.7546,
103.254,96.7514,103.259,96.7414,
103.267,96.744,103.272,96.7276,
103.28,96.7304,103.286,96.7142,
103.289,96.7,103.3,96.6997,
103.309,96.7023,103.315,96.6851,
103.323,96.6838,103.328,96.6721,
103.335,96.6762,103.34,96.6598,
103.35,96.6565,103.355,96.6452,
103.357,96.6316,103.368,96.6319,
103.372,96.6333,103.381,96.6188,
103.388,96.6238,103.394,96.606,
103.403,96.6091,103.409,96.5914,
103.416,96.5957,103.422,96.5782,
103.427,96.5786,103.437,96.5635,
103.442,96.5529,103.449,96.5514,
103.454,96.54,103.462,96.5382,
103.47,96.5409,103.475,96.5248,
103.484,96.5216,103.488,96.5117,
103.49,96.4984,103.501,96.4986,
103.511,96.4961,103.515,96.4853,
103.519,96.4865,103.529,96.4707,
