Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
100.005,99.999,100.013,99.9875,
100.019,99.9849,100.027,99.9732,
100.033,99.9705,100.041,99.959,
100.048,99.9556,100.055,99.9448,
100.06,99.9383,100.069,99.9307,
100.074,99.9276,100.082,99.9183,
100.087,99.9144,100.095,99.9048,
100.099,99.9026,100.108,99.8919,
100.114,99.8877,100.122,99.878,
100.129,99.8754,100.137,99.8633,
100.14,99.8559,100.15,99.8502,
100.155,99.8469,100.163,99.8374,
100.169,99.8325,100.177,99.8233,
100.182,99.8202,100.189,99.8105,
100.194,99.8018,100.204,99.7963,
100.209,99.7884,100.218,99.7819,
100.223,99.7792,100.231,99.7687,
100.235,99.7621,100.244,99.7556,
100.248,99.7501,100.256,99.7438,
100.264,99.7378,100.274,99.7258,
100.281,99.7218,100.289,99.7109,
100.298,99.7069,100.31,99.6901,
100.315,99.6889,100.323,99.6772,
100.329,99.6732,100.337,99.6634,
100.343,99.6589,100.351,99.6492,
100.356,99.6393,100.367,99.6327,
100.373,99.6315,100.38,99.6204,
100.386,99.6172,100.394,99.6065,
100.4,99.6046,100.407,99.5929,
100.412,99.5834,100.422,99.5783,
100.424,99.5706,100.435,99.5654,
100.439,99.559,100.448,99.5522,
100.453,99.5517,100.461,99.5392,
100.465,99.533,100.474,99.5261,
100.478,99.5179,100.487,99.5132,
100.492,99.5098,100.5,99.4997,
100.506,99.498,100.513,99.4866,
100.517,99.4807,100.526,99.4741,
100.532,99.4705,100.54,99.4604,
100.547,99.457,100.554,99.4457,
100.559,99.4358,100.574,99.4264,
100.579,99.4228,100.587,99.4128,
100.592,99.4051,100.602,99.3983,
100.606,99.3916,100.615,99.3853,
100.62,99.3826,100.627,99.3725,
100.636,99.3682,100.647,99.3534,
100.652,99.35,100.66,99.3399,
100.663,99.3316,100.673,99.327,
100.677,99.3178,100.687,99.3131,
100.691,99.3061,100.701,99.2994,
100.705,99.2971,100.713,99.287,
100.718,99.2847,100.726,99.2741,
100.734,99.2719,100.741,99.259,
100.744,99.2508,100.753,99.2466,
100.759,99.2438,100.766,99.2336,
100.773,99.2322,100.78,99.2202,
100.785,99.212,100.794,99.2058,
100.802,99.2015,100.813,99.1869,
100.818,99.1846,100.826,99.1744,
100.833,99.1695,100.844,99.1565,
100.848,99.1463,100.858,99.1418,
100.862,99.1331,100.871,99.1288,
100.875,99.1221,100.885,99.1152,
100.888,99.1063,100.898,99.102,
100.903,99.0993,100.911,99.0889,
100.915,99.0797,100.924,99.0757,
100.929,99.0683,100.937,99.0626,
100.941,99.0564,100.95,99.0495,
100.956,99.0467,100.965,99.0353,
100.97,99.0349,100.977,99.0228,
100.983,99.0199,100.991,99.0094,
100.994,99.0024,101.004,98.9959,
101.009,98.9851,101.019,98.9809,
101.025,98.9774,101.033,98.9666,
101.04,98.9636,101.047,98.9527,
101.053,98.9499,101.061,98.9391,
101.067,98.9356,101.075,98.9249,
101.08,98.9172,101.089,98.9113,
101.094,98.9038,101.102,98.8977,
101.107,98.8883,101.118,98.8822,
101.125,98.8787,101.132,98.8681,
101.135,98.8599,101.144,98.8562,
101.149,98.8475,101.158,98.8422,
101.162,98.8319,101.172,98.8282,
101.179,98.8235,101.187,98.8134,
101.192,98.8113,101.2,98.8005,
101.205,98.7983,101.211,98.7886,
101.217,98.7799,101.226,98.7743,
101.232,98.7709,101.239,98.7609,
101.245,98.7583,101.254,98.7463,
101.262,98.743,101.27,98.7298,
101.275,98.7221,101.284,98.7155,
101.287,98.7063,101.297,98.7028,
101.302,98.692,101.312,98.6884,
101.317,98.6893,101.324,98.6761,
101.33,98.6674,101.338,98.6622,
101.345,98.6618,101.353,98.6475,
101.359,98.648,101.366,98.634,
101.369,98.6281,101.379,98.6213,
101.382,98.6108,101.393,98.6073,
101.398,98.6057,101.407,98.5931,
101.411,98.5821,101.422,98.5785,
101.427,98.5693,101.436,98.564,
101.439,98.5574,101.45,98.55,
101.454,98.5421,101.463,98.537,
101.465,98.5277,101.475,98.5246,
101.48,98.5247,101.489,98.5113,
101.493,98.5,101.503,98.4967,
101.51,98.4932,101.516,98.4839,
101.52,98.4758,101.531,98.4691,
101.536,98.4672,101.545,98.4549,
101.55,98.4541,101.558,98.4421,
101.563,98.4401,101.572,98.4284,
101.581,98.4235,101.59,98.4099,
101.592,98.4042,101.603,98.3969,
101.606,98.3902,101.617,98.383,
101.62,98.3732,101.63,98.3703,
101.637,98.366,101.644,98.3561,
101.65,98.3469,101.658,98.3418,
101.662,98.3317,101.671,98.3286,
101.679,98.3253,101.685,98.3146,
101.688,98.3051,101.698,98.3016,
101.705,98.2995,101.711,98.2886,
101.719,98.2851,101.726,98.2741,
101.731,98.2649,101.74,98.2604,
101.746,98.2624,101.753,98.247,
101.76,98.2479,101.767,98.2332,
101.774,98.2337,101.781,98.2194,
101.784,98.213,101.794,98.2063,
101.804,98.2017,101.812,98.1882,
101.818,98.1856,101.825,98.1751,
101.828,98.1673,101.839,98.1609,
101.849,98.1426,101.865,98.1355,
101.867,98.1245,101.878,98.1221,
101.881,98.1159,101.892,98.1082,
101.9,98.1073,101.908,98.0922,
101.912,98.0915,101.922,98.0782,
101.927,98.0763,101.936,98.0641,
101.941,98.0629,101.95,98.0498,
101.958,98.049,101.965,98.0347,
